initial_number_sheep,initial_number_wolves,sheep_gain_from_food,wolf_gain_from_food,sheep_reproduce,wolf_reproduce,grass_regrowth
100,100,10,25,10,10,50
230,100,10,25,10,10,50
100,230,10,25,10,10,50
230,230,10,25,10,10,50
100,100,25,25,10,10,50
230,100,25,25,10,10,50
100,230,25,25,10,10,50
230,230,25,25,10,10,50
100,100,40,25,10,10,50
230,100,40,25,10,10,50
100,230,40,25,10,10,50
230,230,40,25,10,10,50
100,100,10,50,10,10,50
230,100,10,50,10,10,50
100,230,10,50,10,10,50
230,230,10,50,10,10,50
100,100,25,50,10,10,50
230,100,25,50,10,10,50
100,230,25,50,10,10,50
230,230,25,50,10,10,50
100,100,40,50,10,10,50
230,100,40,50,10,10,50
100,230,40,50,10,10,50
230,230,40,50,10,10,50
100,100,10,80,10,10,50
230,100,10,80,10,10,50
100,230,10,80,10,10,50
230,230,10,80,10,10,50
100,100,25,80,10,10,50
230,100,25,80,10,10,50
100,230,25,80,10,10,50
230,230,25,80,10,10,50
100,100,40,80,10,10,50
230,100,40,80,10,10,50
100,230,40,80,10,10,50
230,230,40,80,10,10,50
100,100,10,25,20,10,50
230,100,10,25,20,10,50
100,230,10,25,20,10,50
230,230,10,25,20,10,50
100,100,25,25,20,10,50
230,100,25,25,20,10,50
100,230,25,25,20,10,50
230,230,25,25,20,10,50
100,100,40,25,20,10,50
230,100,40,25,20,10,50
100,230,40,25,20,10,50
230,230,40,25,20,10,50
100,100,10,50,20,10,50
230,100,10,50,20,10,50
100,230,10,50,20,10,50
230,230,10,50,20,10,50
100,100,25,50,20,10,50
230,100,25,50,20,10,50
100,230,25,50,20,10,50
230,230,25,50,20,10,50
100,100,40,50,20,10,50
230,100,40,50,20,10,50
100,230,40,50,20,10,50
230,230,40,50,20,10,50
100,100,10,80,20,10,50
230,100,10,80,20,10,50
100,230,10,80,20,10,50
230,230,10,80,20,10,50
100,100,25,80,20,10,50
230,100,25,80,20,10,50
100,230,25,80,20,10,50
230,230,25,80,20,10,50
100,100,40,80,20,10,50
230,100,40,80,20,10,50
100,230,40,80,20,10,50
230,230,40,80,20,10,50
100,100,10,25,10,20,50
230,100,10,25,10,20,50
100,230,10,25,10,20,50
230,230,10,25,10,20,50
100,100,25,25,10,20,50
230,100,25,25,10,20,50
100,230,25,25,10,20,50
230,230,25,25,10,20,50
100,100,40,25,10,20,50
230,100,40,25,10,20,50
100,230,40,25,10,20,50
230,230,40,25,10,20,50
100,100,10,50,10,20,50
230,100,10,50,10,20,50
100,230,10,50,10,20,50
230,230,10,50,10,20,50
100,100,25,50,10,20,50
230,100,25,50,10,20,50
100,230,25,50,10,20,50
230,230,25,50,10,20,50
100,100,40,50,10,20,50
230,100,40,50,10,20,50
100,230,40,50,10,20,50
230,230,40,50,10,20,50
100,100,10,80,10,20,50
230,100,10,80,10,20,50
100,230,10,80,10,20,50
230,230,10,80,10,20,50
100,100,25,80,10,20,50
230,100,25,80,10,20,50
100,230,25,80,10,20,50
230,230,25,80,10,20,50
100,100,40,80,10,20,50
230,100,40,80,10,20,50
100,230,40,80,10,20,50
230,230,40,80,10,20,50
100,100,10,25,20,20,50
230,100,10,25,20,20,50
100,230,10,25,20,20,50
230,230,10,25,20,20,50
100,100,25,25,20,20,50
230,100,25,25,20,20,50
100,230,25,25,20,20,50
230,230,25,25,20,20,50
100,100,40,25,20,20,50
230,100,40,25,20,20,50
100,230,40,25,20,20,50
230,230,40,25,20,20,50
100,100,10,50,20,20,50
230,100,10,50,20,20,50
100,230,10,50,20,20,50
230,230,10,50,20,20,50
100,100,25,50,20,20,50
230,100,25,50,20,20,50
100,230,25,50,20,20,50
230,230,25,50,20,20,50
100,100,40,50,20,20,50
230,100,40,50,20,20,50
100,230,40,50,20,20,50
230,230,40,50,20,20,50
100,100,10,80,20,20,50
230,100,10,80,20,20,50
100,230,10,80,20,20,50
230,230,10,80,20,20,50
100,100,25,80,20,20,50
230,100,25,80,20,20,50
100,230,25,80,20,20,50
230,230,25,80,20,20,50
100,100,40,80,20,20,50
230,100,40,80,20,20,50
100,230,40,80,20,20,50
230,230,40,80,20,20,50
100,100,10,25,10,10,100
230,100,10,25,10,10,100
100,230,10,25,10,10,100
230,230,10,25,10,10,100
100,100,25,25,10,10,100
230,100,25,25,10,10,100
100,230,25,25,10,10,100
230,230,25,25,10,10,100
100,100,40,25,10,10,100
230,100,40,25,10,10,100
100,230,40,25,10,10,100
230,230,40,25,10,10,100
100,100,10,50,10,10,100
230,100,10,50,10,10,100
100,230,10,50,10,10,100
230,230,10,50,10,10,100
100,100,25,50,10,10,100
230,100,25,50,10,10,100
100,230,25,50,10,10,100
230,230,25,50,10,10,100
100,100,40,50,10,10,100
230,100,40,50,10,10,100
100,230,40,50,10,10,100
230,230,40,50,10,10,100
100,100,10,80,10,10,100
230,100,10,80,10,10,100
100,230,10,80,10,10,100
230,230,10,80,10,10,100
100,100,25,80,10,10,100
230,100,25,80,10,10,100
100,230,25,80,10,10,100
230,230,25,80,10,10,100
100,100,40,80,10,10,100
230,100,40,80,10,10,100
100,230,40,80,10,10,100
230,230,40,80,10,10,100
100,100,10,25,20,10,100
230,100,10,25,20,10,100
100,230,10,25,20,10,100
230,230,10,25,20,10,100
100,100,25,25,20,10,100
230,100,25,25,20,10,100
100,230,25,25,20,10,100
230,230,25,25,20,10,100
100,100,40,25,20,10,100
230,100,40,25,20,10,100
100,230,40,25,20,10,100
230,230,40,25,20,10,100
100,100,10,50,20,10,100
230,100,10,50,20,10,100
100,230,10,50,20,10,100
230,230,10,50,20,10,100
100,100,25,50,20,10,100
230,100,25,50,20,10,100
100,230,25,50,20,10,100
230,230,25,50,20,10,100
100,100,40,50,20,10,100
230,100,40,50,20,10,100
100,230,40,50,20,10,100
230,230,40,50,20,10,100
100,100,10,80,20,10,100
230,100,10,80,20,10,100
100,230,10,80,20,10,100
230,230,10,80,20,10,100
100,100,25,80,20,10,100
230,100,25,80,20,10,100
100,230,25,80,20,10,100
230,230,25,80,20,10,100
100,100,40,80,20,10,100
230,100,40,80,20,10,100
100,230,40,80,20,10,100
230,230,40,80,20,10,100
100,100,10,25,10,20,100
230,100,10,25,10,20,100
100,230,10,25,10,20,100
230,230,10,25,10,20,100
100,100,25,25,10,20,100
230,100,25,25,10,20,100
