direction_true,direction_pred,density_true,density_pred,burn_true,burn_pred,n,ticks_included
4,8,57,36,15.89059484856112,11.002337169819642,99,no
4,4,33,27,0.794874265343482,0.7783936784998231,99,no
8,8,19,17,0.8839027706952236,0.9104704097116844,99,no
8,8,11,8,0.55612468900922,0.5598880223955209,99,no
8,4,27,50,1.6348455654814038,1.6221374045801529,99,no
8,4,18,17,0.6563567703650423,0.653038046564452,99,no
4,4,64,64,93.3361598124548,92.9889022195561,99,no
4,4,5,5,0.347112653834017,0.3639973527465255,99,no
8,4,17,23,0.6360490131886634,0.6337488683055923,99,no
8,4,34,48,2.1242371197426313,1.9896366172855908,99,no
4,4,3,15,0.41472265422498705,0.42544139544777704,99,no
8,8,88,81,100,100,99,no
4,8,36,17,0.9129369850812736,0.9104704097116844,99,no
8,4,64,86,99.9379868035918,99.94811451866951,99,no
4,4,17,21,0.47855869381627103,0.4625066343164759,99,no
4,4,63,62,89.80311564418734,89.31722581307069,99,no
8,8,57,57,99.63733749930256,99.64842769050476,99,no
4,8,41,26,1.0618580585373387,1.0272716155069097,99,no
8,8,92,96,100,100,99,no
8,8,92,94,100,100,99,no
4,8,90,74,99.99114087776184,99.99141354513256,99,no
8,4,34,49,2.3835117072486796,2.461257976298997,99,no
4,4,61,61,82.40102371252482,82.06527415143603,99,no
8,4,32,49,2.534631600080305,2.461257976298997,99,no
4,8,94,93,100,100,99,no
8,4,1,4,0.1567398119122257,0.16142050040355124,99,no
4,4,63,63,91.9995956839259,91.01857262633705,99,no
8,8,56,56,99.65569245653472,99.65992178200986,99,no
8,4,25,27,0.787951960348224,0.7783936784998231,99,no
4,4,86,84,99.9239219179099,99.9242295088178,99,no
8,8,91,89,100,100,99,no
4,4,26,13,0.5292633392824174,0.5182596119079185,99,no
8,8,35,37,5.132646549366396,5.795728556665519,99,no
4,8,49,30,1.6819571865443423,1.6766594152915582,99,no
8,8,34,32,2.964732331038359,3.0032708890871245,99,no
8,8,98,98,100,100,99,no
8,8,20,25,0.9343555342597027,0.95448798988622,99,no
4,4,30,33,0.8423072822262502,0.8459418958766375,99,no
8,8,95,94,100,100,99,no
4,8,41,26,1.0068560235063664,1.0272716155069097,99,no
4,4,32,9,0.6940630149298448,0.6950632685795759,99,no
8,8,69,66,99.96767266261806,99.96385803435896,99,no
8,4,33,49,2.659138072486849,2.461257976298997,99,no
4,4,84,84,99.9164038454231,99.9242295088178,99,no
4,8,99,90,100,100,99,no
4,4,15,21,0.4663487016428193,0.4625066343164759,99,no
8,4,66,87,99.94954227636416,99.95043506994162,99,no
8,8,39,39,26.896127842655194,23.01629653955092,99,no
4,4,20,13,0.6108342710175213,0.6087712759348988,99,no
8,8,55,54,99.39478180291316,99.40095021689731,99,no
4,8,23,8,0.5573138846841889,0.5598880223955209,99,no
4,8,51,32,2.7340823970037453,3.0032708890871245,99,no
8,8,39,39,17.9822055342421,23.01629653955092,99,no
4,8,99,89,100,100,99,no
4,4,73,72,98.80936747647188,98.97545971543006,99,no
4,8,95,93,100,100,99,no
8,8,28,29,1.8085226630496216,1.7054772056411938,99,no
4,8,93,89,100,100,99,no
4,4,63,63,91.125382417638,91.01857262633705,99,no
4,4,27,31,0.7716139591979891,0.7736448406599037,99,no
4,8,39,26,1.0729526519000203,1.0272716155069097,99,no
4,4,13,21,0.468384074941452,0.4625066343164759,99,no
8,4,41,60,52.79617509895363,66.77791021056814,99,no
8,4,4,2,0.23659305993690852,0.24590163934426232,99,no
4,8,38,17,0.901618720120775,0.9104704097116844,99,no
8,4,44,63,91.37737961926092,91.01857262633705,99,no
4,4,77,78,99.49140978726044,99.55855303494788,99,no
8,4,3,21,0.4751847940865892,0.4625066343164759,99,no
8,8,91,81,100,100,99,no
4,4,70,71,98.00698582288884,98.4112716568167,99,no
4,4,65,63,91.43115809048425,91.01857262633705,99,no
4,8,4,3,0.31783869686134286,0.3184713375796179,99,no
4,8,52,36,3.69203474856234,3.795730356984675,99,no
4,4,4,2,0.20894274968658588,0.24590163934426232,99,no
8,4,94,97,100,100,99,no
4,4,11,5,0.36221385105766446,0.3639973527465255,99,no
8,8,99,98,100,100,99,no
4,4,11,21,0.47516198704103674,0.4625066343164759,99,no
8,8,2,3,0.3103180760279286,0.3184713375796179,99,no
8,8,37,37,7.256392536281962,5.795728556665519,99,no
8,4,71,92,99.99550844412504,99.99653757595692,99,no
4,8,8,3,0.29667721518987344,0.3184713375796179,99,no
4,8,98,88,100,100,99,no
8,8,82,81,100,100,99,no
8,8,53,53,99.20680227142986,99.2908227657912,99,no
8,4,59,79,99.75685532892072,99.72161704187847,99,no
4,8,74,53,99.23350199160296,99.2908227657912,99,no
4,4,2,2,0.2425222312045271,0.24590163934426232,99,no
8,8,40,36,14.084955611290258,11.002337169819642,99,no
8,4,77,95,100,100,99,no
8,4,29,47,1.547039851309244,1.477765726681128,99,no
8,4,2,7,0.3937007874015748,0.37929495760821064,99,no
8,8,36,37,5.887862973370801,5.795728556665519,99,no
4,8,99,96,100,100,99,no
8,8,67,65,99.95712039639812,99.95821555855969,99,no
8,8,68,66,99.9648357831071,99.96385803435896,99,no
4,4,9,21,0.471039776692254,0.4625066343164759,99,no
4,8,92,75,99.99480087345326,99.99361185639452,99,no
4,4,33,31,0.7500721223194537,0.7736448406599037,99,no
8,4,66,85,99.92733086258266,99.9250107797004,99,no
8,8,40,39,18.421999280546785,23.01629653955092,99,no
4,8,96,89,100,100,99,no
4,8,30,3,0.6801636643817418,0.6774361646690985,99,no
4,4,15,15,0.5065963060686016,0.49542272482498656,99,no
8,8,1,3,0.6825938566552902,0.6774361646690985,99,no
8,4,61,83,99.85923203253304,99.87715223525348,99,no
4,4,10,23,0.6395906619763352,0.6337488683055923,99,no
8,4,1,27,0.78125,0.7783936784998231,99,no
4,4,30,27,0.7810009563277016,0.7783936784998231,99,no
4,4,41,43,1.2698660018697414,1.2958963282937366,99,no
4,4,10,2,0.2703132453490221,0.24590163934426232,99,no
4,4,79,79,99.70383801752796,99.72161704187847,99,no
8,8,22,25,0.969258589511754,0.95448798988622,99,no
8,4,9,23,0.629156929714183,0.6337488683055923,99,no
4,4,86,86,99.9443847095028,99.94811451866951,99,no
4,8,29,8,0.5677120652593287,0.5598880223955209,99,no
4,4,72,72,98.86779960273672,98.97545971543006,99,no
8,4,80,97,100,100,99,no
4,8,6,3,0.3142183817753339,0.3184713375796179,99,no
8,4,32,49,2.236261532290414,2.461257976298997,99,no
4,4,85,85,99.93071290799796,99.9250107797004,99,no
8,4,66,85,99.93472269232628,99.9250107797004,99,no
4,4,97,97,100,100,99,no
4,8,38,26,1.0191190095173923,1.0272716155069097,99,no
4,8,64,45,93.59388993929744,93.86058032554848,99,no
4,4,43,43,1.310547674894821,1.2958963282937366,99,no
4,4,45,48,2.199667574353715,1.9896366172855908,99,no
8,4,15,17,0.6590136054421769,0.653038046564452,99,no
4,8,59,36,16.89243887959415,11.002337169819642,99,no
8,8,88,96,100,100,99,no
8,8,89,81,100,100,99,no
8,8,55,54,99.47337962962963,99.40095021689731,99,no
8,4,18,17,0.6639874191857418,0.653038046564452,99,no
8,4,76,92,99.99580343279196,99.99653757595692,99,no
8,8,87,90,100,100,99,no
4,4,32,31,0.7619521912350598,0.7736448406599037,99,no
4,8,92,88,100,100,99,no
4,4,48,48,2.08236466290269,1.9896366172855908,99,no
4,4,82,83,99.8679380862675,99.87715223525348,99,no
8,8,59,59,99.80699179035504,99.8022055436638,99,no
4,4,5,7,0.37926675094816686,0.37929495760821064,99,no
4,8,76,54,99.41589275959154,99.40095021689731,99,no
8,4,29,48,2.0051639839586883,1.9896366172855908,99,no
8,4,48,69,96.77924849131465,97.24798293610311,99,no
8,8,91,88,100,100,99,no
4,4,3,9,0.7096069868995634,0.6950632685795759,99,no
4,4,71,71,97.98356139637808,98.4112716568167,99,no
8,8,58,59,99.7711733568593,99.8022055436638,99,no
8,4,28,47,1.541153889578864,1.477765726681128,99,no
4,4,53,52,3.507821901323706,3.268735434809273,99,no
4,4,63,63,91.61779575328616,91.01857262633705,99,no
8,4,94,97,100,100,99,no
8,8,54,55,99.37569939336828,99.37017883454192,99,no
4,4,95,96,99.99832478976111,99.99833983564372,99,no
8,8,96,88,100,100,99,no
8,4,48,69,97.09999665898232,97.24798293610311,99,no
8,4,88,97,100,100,99,no
4,4,37,33,0.8421414453897053,0.8459418958766375,99,no
4,4,52,50,1.6021115953594007,1.6221374045801529,99,no
4,8,76,54,99.38936103242052,99.40095021689731,99,no
8,8,41,41,74.28715521589014,78.10983892877935,99,no
4,8,76,54,99.44273353864205,99.40095021689731,99,no
4,8,80,59,99.76596255400864,99.8022055436638,99,no
4,8,87,65,99.9596833308899,99.95821555855969,99,no
8,4,26,47,1.5459174283786272,1.477765726681128,99,no
4,8,78,56,99.66885386643771,99.65992178200986,99,no
8,4,25,44,1.3631687242798354,1.4125118621797212,99,no
4,4,30,39,0.9979720354360124,0.98584635523194,99,no
4,8,61,42,83.88713424342879,82.84003486565355,99,no
8,8,56,54,99.4331453312824,99.40095021689731,99,no
4,4,77,78,99.52717695609796,99.55855303494788,99,no
4,4,79,79,99.72561283163522,99.72161704187847,99,no
4,8,55,32,3.027756852291824,3.0032708890871245,99,no
4,8,43,26,1.1442841701144284,1.0272716155069097,99,no
4,4,48,50,1.5802403558860634,1.6221374045801529,99,no
4,4,19,13,0.6094464195022855,0.6087712759348988,99,no
4,4,26,31,0.7562608480039673,0.7736448406599037,99,no
4,4,27,33,0.8380884450784594,0.8459418958766375,99,no
