n,perc_correct_params,perc_density_correct,perc_direction_correct,perc_correct_cat_density,RMSE_density,NRMSE_density,RMSE_burn,NRMSE_burn,point_pred_performance_density,direction_kappa,direction_f1,direction_mcc,ticks_included
99,0.012626262626262626,0.027777777777777776,0.4166666666666667,0.27525252525252525,0.825333369876886,0.028187915794691373,1.815633639856897,0.06201000713436501,0.48147357115328504,-0.18143307330681416,0.49230769230769234,-0.18515365941206713,no
198,0.022727272727272728,0.03282828282828283,0.48737373737373735,0.23737373737373738,0.6996140952317876,0.023894178915987038,1.49842515267541,0.05117626836603315,0.5445479695682245,-0.039302890831049285,0.5577342047930283,-0.04029137921385926,no
396,0.007575757575757576,0.020202020202020204,0.5050505050505051,0.2777777777777778,0.7155211001337012,0.024437456736908985,1.2258216178222983,0.04186593902975421,0.5441925205019267,-0.0016518686764402566,0.5663716814159292,-0.0016805547848962295,no
594,0.007575757575757576,0.022727272727272728,0.48737373737373735,0.17424242424242425,0.777161979716957,0.02654270049248706,0.7576200391697868,0.025875277370251415,0.4904121344547876,-0.03769298290907213,0.5518763796909493,-0.038385813404394495,no
792,0.007575757575757576,0.012626262626262626,0.4494949494949495,0.2474747474747475,0.8677852384690219,0.02963779016167708,1.758229748342588,0.06004947079916956,0.4506747238395278,-0.09932762836185817,0.455,-0.09965252717990487,no
990,0.027777777777777776,0.03282828282828283,0.5328282828282829,0.23484848484848486,0.7833422047075342,0.026753776002074934,1.2237589140350034,0.04179549074450636,0.5028271321413944,0.02304368698991839,0.6793760831889082,0.04377317870574434,no
1188,0.0025252525252525255,0.03535353535353535,0.42424242424242425,0.2904040404040404,0.7645799109023516,0.02611298044333648,1.5662066103419825,0.053491233555713766,0.5183513168441221,-0.12120007947546192,0.24,-0.147563356232464,no
1386,0.022727272727272728,0.027777777777777776,0.5050505050505051,0.19444444444444445,0.8402013463766846,0.028695707294356883,0.6976830490312758,0.023828227180988357,0.45897879441152345,-0.034218100415733955,0.6585365853658537,-0.06196597130389473,no
1584,0.005050505050505051,0.027777777777777776,0.47474747474747475,0.22727272727272727,0.7218681776015428,0.024654230820855924,0.5701858914683007,0.019473769609517893,0.5278723893364903,-0.057518488085456204,0.5185185185185186,-0.05770975008787479,no
99,0.0025252525252525255,0.03535353535353535,0.20707070707070707,0.5025252525252525,0.37031897908182143,0.012647641038786012,1.061584935062979,0.036256702867753746,0.7705020681278518,-0.5666767462957364,0.12290502793296089,-0.5920072937244282,yes
198,0.0025252525252525255,0.08838383838383838,0.1919191919191919,0.5429292929292929,0.3422261994024797,0.011688177945517138,1.3542608942056507,0.04625257313369828,0.792896724209972,-0.6022658304673277,0.13978494623655913,-0.6174365194249266,yes
396,0.005050505050505051,0.1111111111111111,0.17424242424242425,0.6691919191919192,0.3018283497583856,0.010308455247252567,1.5075090093839296,0.05148651268346453,0.8263661491536766,-0.6435497791541861,0.15503875968992248,-0.6504969305866241,yes
594,0.005050505050505051,0.13131313131313133,0.20202020202020202,0.702020202020202,0.29762088022903377,0.010164755984468863,1.8181159362143713,0.06209478591983007,0.8346896613091209,-0.5782463928967815,0.1270718232044199,-0.6004982751160302,yes
792,0,0.1590909090909091,0.19696969696969696,0.7297979797979798,0.29872600061968624,0.01020249956985104,1.6043006403550075,0.05479227305015196,0.8423356836880465,-0.5979088417419552,0.17616580310880828,-0.6048204208579788,yes
990,0.012626262626262626,0.13636363636363635,0.1717171717171717,0.7348484848484849,0.2821472604416082,0.009636279725630468,1.6748237922914144,0.057200876338125393,0.8495943853702098,-0.6448181541890389,0.13227513227513227,-0.6568544204518909,yes
1188,0.0025252525252525255,0.14646464646464646,0.19444444444444445,0.7272727272727273,0.29851590278868834,0.010195324020933516,1.6053744382400588,0.05482894686641709,0.8407074505664393,-0.6082395477924326,0.2005012531328321,-0.610485824569591,yes
1386,0.0025252525252525255,0.14646464646464646,0.17676767676767677,0.7146464646464646,0.2878414464771986,0.00983075536704852,1.5749898646563127,0.05379121128841181,0.8440275296919222,-0.6414403417760148,0.17258883248730963,-0.6454123124830776,yes
1584,0.005050505050505051,0.20454545454545456,0.16414141414141414,0.7550505050505051,0.28304497292607267,0.009666939632091904,1.690075384542924,0.05772176960842252,0.8537852807022706,-0.6661920984390097,0.1577608142493639,-0.6707024716583908,yes
