direction_true,direction_pred,density_true,density_pred,burn_true,burn_pred,n,ticks_included
4,4,57,51.34333333333333,15.89059484856112,1.819263527054108,99,no
4,8,33,40.00083333333333,0.794874265343482,31.661960467930616,99,no
8,8,19,40.9925,0.8839027706952236,46.97807509377054,99,no
8,8,11,36.88583333333333,0.55612468900922,5.197459986082116,99,no
8,4,27,48.460833333333326,1.6348455654814038,2.07909227432004,99,no
8,8,18,40.50083333333333,0.6563567703650423,73.44792798385845,99,no
4,4,64,61.947500000000005,93.3361598124548,87.92903972232935,99,no
4,8,5,35.723333333333336,0.347112653834017,10.295878986825178,99,no
8,8,17,39.50083333333333,0.6360490131886634,54.6192731759742,99,no
8,4,34,50.30083333333333,2.1242371197426313,2.218614718614719,99,no
4,8,3,36.86,0.41472265422498705,5.197459986082116,99,no
8,4,88,87.5875,100,99.97826992376363,99,no
4,8,36,43.87583333333333,0.9129369850812736,91.98742274747912,99,no
8,4,64,81.68916666666667,99.9379868035918,99.848840138757,99,no
4,8,17,36.410000000000004,0.47855869381627103,12.356043956043957,99,no
4,4,63,60.2375,89.80311564418734,10.5267341423348,99,no
8,4,57,76.93333333333334,99.63733749930256,99.64084784820112,99,no
4,8,41,43.87583333333333,1.0618580585373387,92.5466286662578,99,no
8,4,92,87.5875,100,99.97466246787565,99,no
8,4,92,87.5875,100,99.9728310088752,99,no
4,4,90,83.62916666666666,99.99114087776184,99.91455263557648,99,no
8,4,34,52.17083333333333,2.3835117072486796,2.90138948399339,99,no
4,4,61,60.2375,82.40102371252482,44.50928381962865,99,no
8,8,32,53.17083333333333,2.534631600080305,99.21595722310671,99,no
4,4,94,87.5875,100,99.9728310088752,99,no
8,8,1,35.723333333333336,0.1567398119122257,2.286524571276643,99,no
4,4,63,61.947500000000005,91.9995956839259,83.8215969699312,99,no
8,4,56,76.93333333333334,99.65569245653472,99.53689346482253,99,no
8,8,25,41.450833333333335,0.787951960348224,46.97807509377054,99,no
4,4,86,78.9225,99.9239219179099,99.73219499426132,99,no
8,4,91,87.5875,100,99.96547526029836,99,no
4,8,26,36.960833333333326,0.5292633392824174,7.065801349550865,99,no
8,4,35,51.17833333333333,5.132646549366396,3.7920164788864263,99,no
4,4,49,48.460833333333326,1.6819571865443423,2.2844827586206895,99,no
8,8,34,53.258333333333326,2.964732331038359,99.08760767129866,99,no
8,4,98,87.5875,100,99.96375498368974,99,no
8,8,20,43.87583333333333,0.9343555342597027,91.98742274747912,99,no
4,8,30,41.4925,0.8423072822262502,43.5802372775523,99,no
8,4,95,87.5875,100,99.9764599366229,99,no
4,8,41,43.87583333333333,1.0068560235063664,91.95514559594864,99,no
4,8,32,40.480000000000004,0.6940630149298448,59.13858868404323,99,no
8,4,69,82.40916666666666,99.96767266261806,99.84636328276936,99,no
8,8,33,53.258333333333326,2.659138072486849,99.13932705571882,99,no
4,4,84,78.9225,99.9164038454231,99.78866435874728,99,no
4,4,99,87.5875,100,99.98190471020392,99,no
4,8,15,36.410000000000004,0.4663487016428193,4.5665737422009824,99,no
8,4,66,82.40916666666666,99.94954227636416,99.84636328276936,99,no
8,4,39,57.437499999999986,26.896127842655194,8.194424989494326,99,no
4,8,20,39.50083333333333,0.6108342710175213,59.13858868404323,99,no
8,4,55,77.55,99.39478180291316,99.55855303494788,99,no
4,8,23,36.88583333333333,0.5573138846841889,5.171224014491504,99,no
4,8,51,53.258333333333326,2.7340823970037453,99.2908227657912,99,no
8,4,39,51.34333333333333,17.9822055342421,1.819263527054108,99,no
4,4,99,87.5875,100,99.96375498368974,99,no
4,4,73,66.88583333333332,98.80936747647188,96.5421227986673,99,no
4,4,95,87.5875,100,99.98190471020392,99,no
8,4,28,51.585833333333326,1.8085226630496216,3.1553472413687467,99,no
4,4,93,87.5875,100,99.98190471020392,99,no
4,4,63,60.2375,91.125382417638,44.50928381962865,99,no
4,8,27,41.450833333333335,0.7716139591979891,46.97807509377054,99,no
4,8,39,43.87583333333333,1.0729526519000203,91.64556962025316,99,no
4,8,13,36.410000000000004,0.468384074941452,8.844287604764006,99,no
8,4,41,61.36916666666667,52.79617509895363,78.80363426290636,99,no
8,8,4,35.723333333333336,0.23659305993690852,2.954616033006521,99,no
