direction_true,direction_pred,density_true,density_pred,burn_true,burn_pred,n,ticks_included
4,4,57,34.970333250548265,15.89059484856112,0.831695836951058,99,no
4,4,33,26.456022446749568,0.794874265343482,0.6935493770330816,99,no
8,4,19,17.105950108855488,0.8839027706952236,0.4700573469963335,99,no
8,4,11,16.921076227097885,0.55612468900922,0.4700573469963335,99,no
8,4,27,17.52949798227008,1.6348455654814038,0.5001339644547647,99,no
8,4,18,16.977609274889183,0.6563567703650423,0.6185567010309279,99,no
4,8,64,78.65129613293253,93.3361598124548,100,99,no
4,4,5,26.203475275822218,0.347112653834017,0.6714276994445462,99,no
8,4,17,16.966155263444378,0.6360490131886634,0.653038046564452,99,no
8,4,34,17.805525335503326,2.1242371197426313,0.49938671806553353,99,no
4,4,3,26.241608768927122,0.41472265422498705,0.814152791380999,99,no
8,8,88,73.00955887119747,100,99.99782674838092,99,no
4,4,36,26.522612357754337,0.9129369850812736,0.8260589372546722,99,no
8,8,64,72.97458209580965,99.9379868035918,99.9956330924256,99,no
4,4,17,26.277613667041628,0.47855869381627103,0.509953305480462,99,no
4,8,63,76.65858329975913,89.80311564418734,100,99,no
8,8,57,72.80500942747938,99.63733749930256,99.9956375692536,99,no
4,4,41,26.606607043377355,1.0618580585373387,0.7938858937140825,99,no
8,8,92,73.00955887119747,100,99.9956375692536,99,no
8,8,92,73.00955887119747,100,99.9978220625068,99,no
4,8,90,82.40484846394301,99.99114087776184,100,99,no
8,4,34,17.951761774458575,2.3835117072486796,0.5404934181849883,99,no
4,8,61,72.48364438531402,82.40102371252482,99.99114005360268,99,no
8,4,32,18.036996641460263,2.534631600080305,0.4082357117500888,99,no
4,8,94,82.40984519926073,100,100,99,no
8,4,1,16.69581457395619,0.1567398119122257,0.653038046564452,99,no
4,8,63,77.89744524275675,91.9995956839259,100,99,no
8,8,56,72.81536201779154,99.65569245653472,99.99344090253182,99,no
8,4,25,17.051831789914225,0.787951960348224,0.42719167904903416,99,no
4,8,86,82.36693552610527,99.9239219179099,100,99,no
8,8,91,73.00955887119747,100,99.9956330924256,99,no
4,4,26,26.306212176686483,0.5292633392824174,0.6714276994445462,99,no
8,4,35,19.50233290210415,5.132646549366396,0.5361715749039693,99,no
4,4,49,26.956356277003593,1.6819571865443423,0.7783936784998231,99,no
8,4,34,18.279582696238535,2.964732331038359,0.4082357117500888,99,no
8,8,98,73.00955887119747,100,99.9956330924256,99,no
8,4,20,17.134406551695065,0.9343555342597027,0.6185567010309279,99,no
4,4,30,26.482775687568736,0.8423072822262502,0.814152791380999,99,no
8,8,95,73.00955887119747,100,99.99563414101723,99,no
4,4,41,26.5755847136705,1.0068560235063664,0.7783936784998231,99,no
4,4,32,26.399162735163788,0.6940630149298448,0.509953305480462,99,no
8,8,69,72.99132555822564,99.96767266261806,99.9978220625068,99,no
8,4,33,18.107220967441258,2.659138072486849,0.5063066263990051,99,no
4,8,84,82.3626951716654,99.9164038454231,100,99,no
4,8,99,82.40984519926073,100,100,99,no
4,4,15,26.270726969072914,0.4663487016428193,0.814152791380999,99,no
8,8,66,72.98109963077106,99.94954227636416,99.99782674838092,99,no
8,8,39,31.77740403118456,26.896127842655194,2.784557907845579,99,no
4,4,20,26.352219935078637,0.6108342710175213,0.5126621371216801,99,no
8,8,55,72.6682028023894,99.39478180291316,99.9956330924256,99,no
4,4,23,26.322033287076685,0.5573138846841889,0.6479743232604614,99,no
4,4,51,27.54977750502516,2.7340823970037453,0.6520993021393433,99,no
8,4,39,26.74976029623629,17.9822055342421,0.6203769983297542,99,no
4,8,99,82.40984519926073,100,100,99,no
4,8,73,81.73830287025791,98.80936747647188,100,99,no
4,8,95,82.40984519926073,100,100,99,no
8,4,28,17.627455597479347,1.8085226630496216,0.6170662905500706,99,no
4,8,93,82.40984519926073,100,100,99,no
4,8,63,77.40437017443215,91.125382417638,100,99,no
4,4,27,26.442903134238286,0.7716139591979891,0.6239189523103533,99,no
4,4,39,26.612864632447774,1.0729526519000203,0.7783936784998231,99,no
4,4,13,26.271874963351873,0.468384074941452,0.814152791380999,99,no
8,8,41,46.38558725486971,52.79617509895363,95.0737045603618,99,no
8,4,4,16.74085352182403,0.23659305993690852,0.6185567010309279,99,no
4,4,38,26.516228613096228,0.901618720120775,0.5463182897862233,99,no
8,8,44,68.1462156833009,91.37737961926092,99.94829612220916,99,no
4,8,77,82.12298939008201,99.49140978726044,99.99804763764156,99,no
8,4,3,16.87542438702844,0.4751847940865892,0.5155605549306337,99,no
8,8,91,73.00955887119747,100,99.99344090253182,99,no
4,8,70,81.28574237510229,98.00698582288884,99.99803555642865,99,no
4,8,65,77.57683422479009,91.43115809048425,100,99,no
4,4,4,26.1869641350159,0.31783869686134286,0.5126621371216801,99,no
4,4,52,28.090083216927862,3.69203474856234,0.6963867800673554,99,no
4,4,4,26.12554448072323,0.20894274968658588,0.509953305480462,99,no
8,8,94,73.00955887119747,100,99.99128312412832,99,no
4,4,11,26.211992675568908,0.36221385105766446,0.6094588005850805,99,no
8,8,99,73.00955887119747,100,99.99563414101723,99,no
4,4,11,26.275697851427907,0.47516198704103674,0.5126621371216801,99,no
8,4,2,16.782436015190513,0.3103180760279286,0.4700573469963335,99,no
8,4,37,20.700171276313455,7.256392536281962,0.4625066343164759,99,no
8,8,71,73.00702553716407,99.99550844412504,99.99782674838092,99,no
4,4,8,26.17502860461001,0.29667721518987344,0.6714276994445462,99,no
4,8,98,82.40984519926073,100,100,99,no
8,8,82,73.00955887119747,100,99.9978220625068,99,no
8,8,53,72.56217830710426,99.20680227142986,99.99782674838092,99,no
8,8,59,72.87242005172581,99.75685532892072,99.9956375692536,99,no
4,8,74,81.97752385110061,99.23350199160296,100,99,no
4,4,2,26.144484029895334,0.2425222312045271,0.6094588005850805,99,no
8,4,40,24.55162759093288,14.084955611290258,0.4472557664047026,99,no
8,8,77,73.00955887119747,100,99.99344090253182,99,no
8,4,29,17.47997367260298,1.547039851309244,0.4700573469963335,99,no
8,4,2,16.829465656232486,0.3937007874015748,0.653038046564452,99,no
8,4,36,19.928291194234674,5.887862973370801,0.423525651270577,99,no
4,8,99,82.40984519926073,100,100,99,no
8,8,67,72.9853738533179,99.95712039639812,99.9956375692536,99,no
8,8,68,72.98972549721921,99.9648357831071,99.99782674838092,99,no
4,4,9,26.273372836208214,0.471039776692254,0.6094588005850805,99,no
4,8,92,82.40691278016332,99.99480087345326,100,99,no
4,4,33,26.430753075322084,0.7500721223194537,0.6239189523103533,99,no
8,8,66,72.96857191609291,99.92733086258266,99.9956330924256,99,no
8,4,40,26.99781341996514,18.421999280546785,0.8260589372546722,99,no
4,8,96,82.40984519926073,100,100,99,no
4,4,30,26.39132320276882,0.6801636643817418,0.6714276994445462,99,no
4,4,15,26.293427482857624,0.5065963060686016,0.5126621371216801,99,no
8,4,1,16.99240755537071,0.6825938566552902,0.4700573469963335,99,no
8,8,61,72.93016271255598,99.85923203253304,99.9956330924256,99,no
4,4,10,26.36843915753106,0.6395906619763352,0.6479743232604614,99,no
8,4,1,17.048051740258103,0.78125,0.42719167904903416,99,no
4,4,30,26.448197602338443,0.7810009563277016,0.5126621371216801,99,no
4,4,41,26.723927993339817,1.2698660018697414,0.7783936784998231,99,no
4,4,10,26.160158759079316,0.2703132453490221,0.5126621371216801,99,no
4,8,79,82.24280347686428,99.70383801752796,99.99804763764156,99,no
8,4,22,17.154092624895732,0.969258589511754,0.5155605549306337,99,no
8,4,9,16.962267980259455,0.629156929714183,0.5155605549306337,99,no
4,8,86,82.37847698029255,99.9443847095028,100,99,no
4,4,29,26.327898084369583,0.5677120652593287,0.814152791380999,99,no
4,8,72,81.77125984513057,98.86779960273672,100,99,no
8,8,80,73.00955887119747,100,99.99344090253182,99,no
4,4,6,26.18492219950974,0.3142183817753339,0.6479743232604614,99,no
8,4,32,17.86870951149458,2.236261532290414,0.42338528060535086,99,no
4,8,85,82.37076579044783,99.93071290799796,100,99,no
8,8,66,72.97274106691277,99.93472269232628,99.99782674838092,99,no
4,8,97,82.40984519926073,100,100,99,no
4,4,38,26.5825013013024,1.0191190095173923,0.7783936784998231,99,no
4,8,64,78.7966614628844,93.59388993929744,100,99,no
4,4,43,26.746873331142318,1.310547674894821,0.7938858937140825,99,no
4,4,45,27.248356060906893,2.199667574353715,0.7783936784998231,99,no
8,4,15,16.979107786965933,0.6590136054421769,0.42719167904903416,99,no
4,4,59,35.53539481287135,16.89243887959415,0.8629464088153296,99,no
8,8,88,73.00955887119747,100,99.9956375692536,99,no
8,8,89,73.00955887119747,100,99.9956375692536,99,no
8,8,55,72.71253366566143,99.47337962962963,99.99563414101723,99,no
8,4,18,16.98191312480055,0.6639874191857418,0.6185567010309279,99,no
8,8,76,73.00719191711129,99.99580343279196,99.99782674838092,99,no
8,8,87,73.00955887119747,100,99.99344090253182,99,no
4,4,32,26.43745368948359,0.7619521912350598,0.5126621371216801,99,no
4,8,92,82.40984519926073,100,100,99,no
4,4,48,27.182194698103526,2.08236466290269,0.7104375111005862,99,no
4,8,82,82.33535944201155,99.8679380862675,100,99,no
8,8,59,72.9006980933669,99.80699179035504,99.99782674838092,99,no
4,4,5,26.22161087756022,0.37926675094816686,0.6714276994445462,99,no
4,8,76,82.08039616367671,99.41589275959154,100,99,no
8,4,29,17.738365528135503,2.0051639839586883,0.4082357117500888,99,no
8,8,48,71.19298580894583,96.77924849131465,99.99327474892397,99,no
8,8,91,73.00955887119747,100,99.99782674838092,99,no
4,4,3,26.407929869382134,0.7096069868995634,0.6094588005850805,99,no
4,8,71,81.27253049517819,97.98356139637808,99.99409925060483,99,no
8,8,58,72.88049572716605,99.7711733568593,99.9956375692536,99,no
8,4,28,17.476653863702474,1.541153889578864,0.653038046564452,99,no
4,4,53,27.986183212499714,3.507821901323706,0.8648834412051091,99,no
4,8,63,77.68210187730327,91.61779575328616,99.99795930861376,99,no
8,8,94,73.00955887119747,100,99.99563414101723,99,no
8,8,54,72.6574399133405,99.37569939336828,99.99344090253182,99,no
4,8,95,82.40890034468707,99.99832478976111,100,99,no
8,8,96,73.00955887119747,100,99.99563414101723,99,no
8,8,48,71.3738946681299,97.09999665898232,99.98197142470816,99,no
8,8,88,73.00955887119747,100,99.99563414101723,99,no
4,4,37,26.482682152029227,0.8421414453897053,0.814152791380999,99,no
4,4,52,26.91132164775791,1.6021115953594007,0.7783936784998231,99,no
4,8,76,82.06543169940683,99.38936103242052,99.99804763764156,99,no
8,8,41,58.50696186465686,74.28715521589014,99.7395338741623,99,no
4,8,76,82.0955349398479,99.44273353864205,100,99,no
4,8,80,82.27784305044558,99.76596255400864,100,99,no
4,8,87,82.38710573150992,99.9596833308899,100,99,no
8,4,26,17.47934060195015,1.5459174283786272,0.6185567010309279,99,no
4,8,78,82.22307166386818,99.66885386643771,100,99,no
8,4,25,17.37626640571613,1.3631687242798354,0.4700573469963335,99,no
4,4,30,26.57057395348908,0.9979720354360124,0.5463182897862233,99,no
4,8,61,73.32184266006094,83.88713424342879,99.99128312412832,99,no
8,8,56,72.68984065679095,99.4331453312824,99.99782674838092,99,no
4,8,77,82.14316284191399,99.52717695609796,100,99,no
4,8,79,82.25508493994397,99.72561283163522,100,99,no
4,4,55,27.715416208634895,3.027756852291824,0.5940820290186222,99,no
4,4,43,26.65309714157751,1.1442841701144284,0.7104375111005862,99,no
4,4,48,26.898985798699645,1.5802403558860634,0.8260589372546722,99,no
4,4,19,26.351437157000234,0.6094464195022855,0.509953305480462,99,no
4,4,26,26.434243649598876,0.7562608480039673,0.5126621371216801,99,no
4,4,27,26.480396172757974,0.8380884450784594,0.6935493770330816,99,no
4,8,64,78.74156135205541,93.49619842951516,100,99,no
8,8,45,69.18520624727033,93.21949128322376,99.98841788278897,99,no
4,4,5,26.116545714921333,0.1929880990672242,0.6239189523103533,99,no
8,4,23,17.31017931396999,1.2459974940832521,0.653038046564452,99,no
8,8,62,72.93724471544671,99.87178829683576,99.99128312412832,99,no
4,8,83,82.35352103764205,99.90013827008757,100,99,no
4,8,67,80.26946556849188,96.2051452439719,99.99601498366142,99,no
8,4,14,16.909817092962918,0.5361624458133698,0.5155605549306337,99,no
4,4,54,27.706385300921305,3.01174521463862,0.7843801139890525,99,no
4,4,35,26.462345171351057,0.8060843428363239,0.6935493770330816,99,no
4,4,11,26.339913325504277,0.5890148726255338,0.5126621371216801,99,no
4,4,32,26.32904392229011,0.569743615373082,0.509953305480462,99,no
8,4,5,17.046052717238645,0.7777057679844459,0.5155605549306337,99,no
4,4,17,26.32972277596531,0.5709472107824785,0.814152791380999,99,no
4,8,64,78.50303299585181,93.07329192546584,100,99,no
4,8,71,81.61286518761545,98.58696871145004,100,99,no
8,8,65,72.9778024593212,99.9436964504284,99.9978220625068,99,no
8,8,85,73.00955887119747,100,99.9956375692536,99,no
4,8,91,82.4059064329471,99.9930166378603,100,99,no
8,8,74,73.00834659958763,99.99785066414478,99.99344090253182,99,no
4,8,80,82.26947709814138,99.75112987038844,100,99,no
4,8,63,77.93617362920376,92.06826041955924,100,99,no
8,4,8,16.741887557037607,0.23842638585336776,0.5155605549306337,99,no
8,4,18,17.0261267445102,0.7423773751657092,0.42719167904903416,99,no
8,8,83,73.00955887119747,100,99.9978220625068,99,no
8,4,2,16.828594849548537,0.392156862745098,0.6185567010309279,99,no
4,8,78,82.2235590746723,99.66971803706498,100,99,no
8,8,91,73.00955887119747,100,99.9956330924256,99,no
4,4,8,26.23434747104558,0.40184850311432585,0.509953305480462,99,no
8,8,85,73.00955887119747,100,99.9956330924256,99,no
8,8,71,72.99564147425916,99.97532470445726,99.9978220625068,99,no
8,4,14,16.96197826712617,0.6286432735169734,0.5155605549306337,99,no
8,8,78,73.00840752497146,99.9979586837593,99.99128312412832,99,no
4,4,49,27.033223252499003,1.81824095758522,0.8260589372546722,99,no
4,4,19,26.28863011146459,0.4980906524987548,0.5126621371216801,99,no
8,8,51,72.23899925713992,98.63381160324391,99.99112058248978,99,no
8,4,17,17.01039606801168,0.714487167434427,0.6185567010309279,99,no
8,8,53,72.52345066872216,99.13813886210222,99.99128312412832,99,no
8,8,59,72.90128382527952,99.80803028254698,99.99563414101723,99,no
8,8,73,73.00710484335491,99.9956490525812,99.9956375692536,99,no
8,8,54,72.63000425493415,99.327056462324,99.9956330924256,99,no
8,4,1,16.869745528194684,0.46511627906976744,0.4700573469963335,99,no
4,4,34,26.48117215744245,0.8394642520279192,0.814152791380999,99,no
4,4,54,28.16515552817076,3.825136612021858,0.6963867800673554,99,no
8,8,58,72.84003032019244,99.69942891493838,99.99563414101723,99,no
8,4,22,17.128121467347263,0.9232121922626024,0.653038046564452,99,no
4,8,87,82.39020800748713,99.9651836106428,99.99804763764156,99,no
4,4,22,26.321630461383037,0.5565996819430389,0.509953305480462,99,no
8,8,63,72.95967447496321,99.9115558587926,99.9956375692536,99,no
4,4,21,26.313761135687873,0.542647508407215,0.6714276994445462,99,no
8,8,44,67.3524755854628,89.97009263987161,99.9621023709704,99,no
4,4,7,26.18590212165614,0.315955766192733,0.6479743232604614,99,no
8,4,31,17.34744329241928,1.312065860560844,0.6185567010309279,99,no
8,8,42,63.66035289015397,83.42402521859871,99.94246835759668,99,no
8,4,16,17.021678837188638,0.7344913151364765,0.653038046564452,99,no
8,4,10,16.89818951770595,0.5155469631061704,0.6185567010309279,99,no
8,8,99,73.00955887119747,100,99.99344090253182,99,no
4,4,58,36.33611526990115,18.312101910828023,0.8629464088153296,99,no
8,8,67,72.99345432442914,99.97144692697552,99.9978220625068,99,no
4,4,54,28.03849376669837,3.600567577155019,0.6983874630933454,99,no
4,4,1,26.270031856257944,0.46511627906976744,0.6094588005850805,99,no
4,8,68,80.98980371934948,97.4822918858265,100,99,no
8,8,95,73.00955887119747,100,99.99344090253182,99,no
8,8,78,73.00724811269451,99.99590306655467,99.9956375692536,99,no
8,4,25,17.33925945279494,1.2975560594608213,0.653038046564452,99,no
4,8,78,82.19460935966065,99.6183907107728,100,99,no
4,8,75,82.06626544080548,99.39083924098992,100,99,no
4,4,27,26.38874710386526,0.6755962871577958,0.6714276994445462,99,no
8,4,5,16.853324023725605,0.4360012457178449,0.653038046564452,99,no
4,8,71,81.48181127979974,98.35461247976984,100,99,no
4,8,67,80.40544250280593,96.44622991347345,99.99600543261164,99,no
8,8,60,72.8808688359893,99.7718348721214,99.99782674838092,99,no
4,4,45,26.643472514561783,1.1272198787706922,0.8260589372546722,99,no
4,8,68,80.6403920453534,96.86279124499885,100,99,no
8,8,60,72.8814646435504,99.77289122825768,99.9956330924256,99,no
8,4,24,17.156263791004093,0.9731080281412322,0.653038046564452,99,no
8,8,86,73.00955887119747,100,99.99782674838092,99,no
8,4,5,16.911416461536774,0.538998097653773,0.653038046564452,99,no
4,8,97,82.40984519926073,100,100,99,no
8,4,29,17.917278922205895,2.322374227714034,0.5654281098546041,99,no
8,4,24,17.24181284426254,1.1247849675797277,0.6185567010309279,99,no
8,8,55,72.73718776659774,99.51709090909092,99.99344090253182,99,no
4,8,85,82.36548561994509,99.92135126025242,100,99,no
4,4,19,26.306748239316516,0.5302137687258037,0.6479743232604614,99,no
4,8,76,82.12864968535544,99.50144538941724,100,99,no
8,4,32,18.484330210185604,3.3277460067047917,0.5063066263990051,99,no
4,4,47,26.830889682757892,1.459507161767701,0.7104375111005862,99,no
4,8,61,71.70288206481527,81.01674609995572,99.99112058248978,99,no
8,4,35,18.955454530149723,4.163040989237462,0.4943857885034356,99,no
4,4,9,26.27402332095611,0.472193074501574,0.6479743232604614,99,no
4,8,99,82.40984519926073,100,100,99,no
4,4,47,27.164810559177347,2.0515428958969144,0.7104375111005862,99,no
8,8,94,73.00955887119747,100,99.99782674838092,99,no
4,4,23,26.46176986576688,0.8050643363379894,0.814152791380999,99,no
8,8,61,72.8849213394635,99.77901988821006,99.9956330924256,99,no
8,4,14,16.994160298507353,0.6857014388489209,0.4700573469963335,99,no
4,4,18,26.293467167746925,0.5066666666666666,0.5126621371216801,99,no
4,4,49,27.111456532714055,1.9569471624266144,0.5463182897862233,99,no
8,8,70,73.00056904829033,99.9840612049729,99.9978220625068,99,no
8,8,94,73.00955887119747,100,99.99782674838092,99,no
