n,perc_correct_params,perc_density_correct,perc_direction_correct,perc_correct_cat_density,RMSE_density,NRMSE_density,RMSE_burn,NRMSE_burn,point_pred_performance_density,direction_kappa,direction_f1,direction_mcc,ticks_included
99,0.05303030303030303,0.05303030303030303,0.8737373737373737,0.351010101010101,0.5549772748950964,0.018954344103454594,0.3363801776954581,0.011488516604262942,0.6516063777004901,0.7472168317842917,0.878048780487805,0.7475608451266131,no
198,0.06565656565656566,0.0707070707070707,0.8484848484848485,0.37373737373737376,0.5391022205871749,0.01841215750298478,0.8244241427870345,0.02815686262565398,0.6699438818780101,0.6978944156240463,0.847715736040609,0.7022159651040906,no
396,0.03535353535353535,0.03787878787878788,0.8787878787878788,0.4065656565656566,0.5526290564179107,0.018874144529417835,0.41731636968904273,0.014252760300114542,0.663135110523533,0.7568314399754376,0.8851674641148325,0.7568702903286328,no
594,0.047979797979797977,0.050505050505050504,0.8914141414141414,0.39646464646464646,0.5409844798924165,0.018476443001107606,0.5217766604732758,0.017820431241317568,0.6720018483214678,0.7834359261331841,0.8911392405063291,0.7878547868811709,no
792,0.045454545454545456,0.047979797979797977,0.8737373737373737,0.398989898989899,0.5605978847159907,0.0191463068692032,0.41529626469067704,0.014183766907058278,0.6615185805026125,0.7477321373967996,0.8756218905472636,0.74960447783609,no
990,0.047979797979797977,0.047979797979797977,0.8737373737373737,0.4065656565656566,0.5324631430437868,0.018185410632474305,0.4641989074395698,0.01585395694935511,0.677795007664207,0.7479890031565013,0.8743718592964824,0.7510864247780885,no
1188,0.0707070707070707,0.07323232323232323,0.8787878787878788,0.4217171717171717,0.5177255404128136,0.017682071839763835,0.3380589041313543,0.011545850769031325,0.6917362761180803,0.7578228519009276,0.880597014925373,0.7597204597480001,no
1386,0.06565656565656566,0.06565656565656566,0.8686868686868687,0.43686868686868685,0.5334346322798278,0.018218590263615424,0.30881446765664267,0.010547054715340513,0.6819496702938496,0.738041929574598,0.8686868686868686,0.7418166939443536,no
1584,0.045454545454545456,0.045454545454545456,0.8686868686868687,0.4217171717171717,0.5186377889678464,0.01771322820201892,0.49485814805177736,0.01690107333195697,0.6871893103300359,0.7376414228926716,0.8706467661691542,0.7394884959241798,no
99,0.05808080808080808,0.06060606060606061,0.8787878787878788,0.5151515151515151,0.3435032037317121,0.011731791946617358,0.7130050914431051,0.024351526561663783,0.7842196891182598,0.7555807015739121,0.8904109589041096,0.7603669599616795,yes
198,0.04292929292929293,0.045454545454545456,0.952020202020202,0.5909090909090909,0.33572970094816607,0.011466300631362432,0.5291443510946342,0.0180720627037255,0.7941854841205742,0.9035730763315732,0.9552941176470587,0.9045171109592801,yes
396,0.05303030303030303,0.05555555555555555,0.9116161616161617,0.5631313131313131,0.34132689234065705,0.011657463578865502,0.49012247799767117,0.016739334241319574,0.7884184044973948,0.8224624686171031,0.91725768321513,0.8229814327446567,yes
594,0.06818181818181818,0.0707070707070707,0.9141414141414141,0.6186868686868687,0.32146685018261767,0.010979176214677935,0.3644817672853608,0.012448280585665165,0.8045329820026365,0.8276674175711652,0.919047619047619,0.8278375772735542,yes
792,0.08585858585858586,0.08585858585858586,0.9444444444444444,0.6186868686868687,0.3227096686020688,0.011021622651759239,0.47771561887693653,0.016315598193637367,0.8034274785193491,0.8886616910336366,0.9468599033816425,0.8887072153785932,yes
990,0.06818181818181818,0.0707070707070707,0.9368686868686869,0.5454545454545454,0.3562700033456937,0.012167821175073604,0.48139793947415965,0.01644136185073882,0.781972999925103,0.8730573934451453,0.9414519906323185,0.8744224498575157,yes
1188,0.07323232323232323,0.07575757575757576,0.9393939393939394,0.6060606060606061,0.31742723063445955,0.010841209594373881,0.39328033521391914,0.013431848726014311,0.805528098628176,0.878228782287823,0.9433962264150944,0.8789531540569908,yes
1386,0.06818181818181818,0.07323232323232323,0.9343434343434344,0.6515151515151515,0.2938024281913971,0.010034342979940734,0.42124678372702395,0.014386997184244665,0.8204977259944634,0.8680811808118082,0.9386792452830189,0.8687971827391054,yes
1584,0.05808080808080808,0.05808080808080808,0.9343434343434344,0.5833333333333334,0.3401111493131379,0.011615941857657495,0.4112786280765202,0.014046551078028591,0.7922137809127625,0.8680811808118082,0.9386792452830189,0.8687971827391054,yes
