n,perc_correct,perc_density_correct,perc_direction_correct,perc_correct_cat,RMSE_density,NRMSE_density,RMSE_burn,NRMSE_burn,point_pred_performance,ticks_included
99,0.06060606060606061,0.06565656565656566,0.7676767676767676,0.5757575757575758,0.28623459239078197,0.009775875885210745,0.6538010801340525,0.022329510069423235,0.8175229649636332,no
198,0.06060606060606061,0.06060606060606061,0.8737373737373737,0.7196969696969697,0.25792667510487133,0.00880906511770553,0.39831866832834995,0.01360392478007761,0.8427843284657552,no
396,0.05303030303030303,0.05555555555555555,0.8863636363636364,0.7878787878787878,0.2570770821733673,0.008780048656131254,0.42180019146263215,0.014405897923292428,0.8501249563469138,no
594,0.06313131313131314,0.06313131313131314,0.8863636363636364,0.76010101010101,0.251129916063719,0.0085769328926903355,0.48388235532415785,0.01652621302401586,0.8499925224756539,no
792,0.05808080808080808,0.06565656565656566,0.8686868686868687,0.76010101010101,0.25860450859633227,0.0088322154156063315,0.4056587798936953,0.013854614324786628,0.846407319637203,no
990,0.05555555555555555,0.05555555555555555,0.8813131313131313,0.7575757575757576,0.2572764199659822,0.008786856713478756,0.40209499333631893,0.013732899004582667,0.8461513499258607,no
1188,0.05555555555555555,0.05555555555555555,0.8863636363636364,0.7626262626262627,0.2557895896721854,0.008736076448615853,0.45123266756557473,0.015411116163944407,0.8481565494311089,no
1386,0.06313131313131314,0.06313131313131314,0.8838383838383839,0.7651515151515151,0.2523169277591748,0.008617473342089363,0.3891844450775516,0.013291960275501936,0.849226272131479,no
1584,0.06818181818181818,0.06818181818181818,0.8787878787878788,0.7575757575757576,0.2507719591017492,0.008564707456193527,0.4441852608388224,0.015170423475831883,0.8505714888114911,no
99,0.10101010101010101,0.10353535353535354,0.9217171717171717,0.6237373737373737,0.3557012191388698,0.012148395277718098,1.0346996620555844,0.035338480196395176,0.8078370355292988,yes
198,0.16666666666666666,0.16666666666666666,0.9393939393939394,0.7222222222222222,0.25388715413216234,0.008671101864085243,0.40687639398890785,0.013896199949261499,0.857869859219015,yes
396,0.10858585858585859,0.10858585858585859,0.9393939393939394,0.7777777777777778,0.23529052838856357,0.00803596442791912,0.35359561873444173,0.012076481928441865,0.8681188876669015,yes
594,0.12373737373737374,0.12373737373737374,0.9292929292929293,0.7474747474747475,0.24081573426607092,0.008224668827508275,0.5255644121473774,0.017949795724976705,0.8641585279367227,yes
792,0.14393939393939395,0.14393939393939395,0.9419191919191919,0.76010101010101,0.23382723340244815,0.007985987973122959,0.5472685485240618,0.018691065120970882,0.8682157800982666,yes
990,0.12626262626262627,0.12626262626262627,0.9318181818181818,0.7575757575757576,0.23308134282699658,0.007960513296464702,0.5019118127185335,0.017141979749808668,0.8681132849131046,yes
1188,0.15151515151515152,0.15151515151515152,0.9318181818181818,0.7626262626262627,0.2308723087339155,0.007885067338169498,0.47128291778842685,0.01609589977450962,0.8705597460882158,yes
1386,0.15151515151515152,0.15151515151515152,0.9368686868686869,0.7752525252525253,0.23108180710743262,0.007892222413593998,0.4345309978278373,0.01484069786101269,0.8704807604132394,yes
1584,0.15656565656565657,0.15656565656565657,0.9368686868686869,0.7727272727272727,0.22978314279630396,0.007847868651122082,0.4104199986758009,0.014017225990579465,0.8718649363559803,yes
