direction_true,direction_pred,density_true,density_pred,burn_true,burn_pred,n,ticks_included
4,4,57,54.30377207650205,15.89059484856112,4.565146915799711,99,no
4,4,33,33.19050211501326,0.794874265343482,0.5353783822891044,99,no
8,8,19,22.891101843813768,0.8839027706952236,1.336935439179828,99,no
8,8,11,8.58387613144577,0.55612468900922,0.4152374074742733,99,no
8,8,27,31.32563996296532,1.6348455654814038,2.707701793145969,99,no
8,4,18,7.681329692594937,0.6563567703650423,0.1986886548778065,99,no
4,8,64,57.99020889632624,93.3361598124548,99.75162399694308,99,no
4,8,5,9.150633911563226,0.347112653834017,0.7974481658692184,99,no
8,4,17,8.836133824218434,0.6360490131886634,0.2651113467656416,99,no
8,8,34,34.54392083213182,2.1242371197426313,3.6954240613166656,99,no
4,8,3,10.83881934551016,0.41472265422498705,0.6865970533543128,99,no
8,8,88,87.94332351449694,100,100,99,no
4,4,36,35.19654200202391,0.9129369850812736,1.003146231361999,99,no
8,8,64,66.94907917252037,99.9379868035918,99.98089004610276,99,no
4,4,17,13.909246895737997,0.47855869381627103,0.4452054794520548,99,no
4,8,63,55.839162243741875,89.80311564418734,99.4899693981639,99,no
8,8,57,61.7395290519032,99.63733749930256,99.90506735086592,99,no
4,4,41,33.325850676172976,1.0618580585373387,0.8237473191655292,99,no
8,8,92,87.94332351449694,100,100,99,no
8,8,92,87.94332351449694,100,100,99,no
4,8,90,90.22749006038737,99.99114087776184,100,99,no
8,8,34,34.63177552086427,2.3835117072486796,3.255898202237015,99,no
4,4,61,56.421533365401324,82.40102371252482,7.448494453248812,99,no
8,8,32,34.417644109955084,2.534631600080305,4.908119257453591,99,no
4,4,94,100.52403300529751,100,100,99,no
8,4,1,-2.80723218510294,0.1567398119122257,0.16666666666666669,99,no
4,8,63,56.648831936909,91.9995956839259,99.55240999244693,99,no
8,8,56,61.47457058601424,99.65569245653472,99.89299230066554,99,no
8,4,25,20.14784290576867,0.787951960348224,0.6585733555502659,99,no
4,8,86,78.23121480191,99.9239219179099,100,99,no
8,8,91,87.94332351449694,100,100,99,no
4,4,26,17.745595919356347,0.5292633392824174,0.6170662905500706,99,no
8,8,35,39.980002046689066,5.132646549366396,14.760733275136896,99,no
4,4,49,44.3239208180118,1.6819571865443423,2.0572128548782245,99,no
8,8,34,33.840829873020645,2.964732331038359,3.9546160726896096,99,no
8,4,98,87.94332351449694,100,99.98368234974164,99,no
8,8,20,22.24954179136099,0.9343555342597027,1.0010155229943425,99,no
4,4,30,35.138773084064255,0.8423072822262502,1.1095383772430485,99,no
8,4,95,87.94332351449694,100,99.9764599366229,99,no
4,4,41,33.44000789222274,1.0068560235063664,0.6722120127671921,99,no
4,4,32,22.258319777309175,0.6940630149298448,0.585051923358198,99,no
8,8,69,69.95696169188257,99.96767266261806,99.97028910981602,99,no
8,8,33,34.19101969825293,2.659138072486849,4.908119257453591,99,no
4,8,84,77.58317994434867,99.9164038454231,100,99,no
4,4,99,100.52403300529751,100,100,99,no
4,4,15,13.199068793901613,0.4663487016428193,0.36710719530102787,99,no
8,8,66,68.0850521995487,99.94954227636416,99.97427081140503,99,no
8,4,39,45.456193110723376,26.896127842655194,1.3225074457523756,99,no
4,4,20,25.20060753766369,0.6108342710175213,0.4472557664047026,99,no
8,8,55,61.903809435524295,99.39478180291316,99.88423543939082,99,no
4,4,23,21.35186797101225,0.5573138846841889,0.6025027035377722,99,no
4,4,51,46.641031458909495,2.7340823970037453,1.495180681856885,99,no
8,8,39,41.93670316328815,17.9822055342421,81.62847169524966,99,no
4,4,99,100.52403300529751,100,100,99,no
4,4,73,66.30922725987985,98.80936747647188,95.24649163063694,99,no
4,4,95,100.52403300529751,100,100,99,no
8,8,28,32.96649224661853,1.8085226630496216,1.9082868679100176,99,no
4,8,93,100.52403300529751,100,100,99,no
4,8,63,56.16699868688151,91.125382417638,99.68304731446848,99,no
4,4,27,31.430683586960974,0.7716139591979891,0.5724600309437855,99,no
4,4,39,33.50777594698658,1.0729526519000203,0.9799324831207802,99,no
4,4,13,13.313239109047014,0.468384074941452,0.4878048780487805,99,no
8,4,41,48.57817530663158,52.79617509895363,1.6725009723842863,99,no
8,4,4,-3.6442947289360887,0.23659305993690852,0.1567398119122257,99,no
4,4,38,35.34102078007582,0.901618720120775,0.8980406386066764,99,no
8,8,44,43.69888144091811,91.37737961926092,91.6494658699982,99,no
4,4,77,75.06544175367921,99.49140978726044,99.42319562394908,99,no
8,8,3,1.126199659244275,0.4751847940865892,0.16129032258064516,99,no
8,8,91,87.94332351449694,100,100,99,no
4,4,70,65.99967844499577,98.00698582288884,95.24649163063694,99,no
4,8,65,56.30620105526295,91.43115809048425,99.5477444469888,99,no
4,8,4,8.841141249979186,0.31783869686134286,0.7974481658692184,99,no
4,4,52,47.887207146677035,3.69203474856234,2.07909227432004,99,no
4,4,4,9.182868345326106,0.20894274968658588,0.3744650499286733,99,no
8,4,94,87.94332351449694,100,99.9764599366229,99,no
4,4,11,9.402910614501625,0.36221385105766446,0.44349831470640416,99,no
8,4,99,87.94332351449694,100,99.9764599366229,99,no
4,4,11,13.705557336135653,0.47516198704103674,0.4000457195108012,99,no
8,8,2,-3.784475922381322,0.3103180760279286,0.15873015873015872,99,no
8,8,37,43.56926658515103,7.256392536281962,90.79703294305868,99,no
8,8,71,82.41759673127564,99.99550844412504,100,99,no
4,4,8,8.747168430410232,0.29667721518987344,0.6950632685795759,99,no
4,4,98,100.52403300529751,100,100,99,no
8,8,82,87.94332351449694,100,100,99,no
8,8,53,59.290521664855994,99.20680227142986,99.8022055436638,99,no
8,8,59,60.00920130613298,99.75685532892072,99.80851063829788,99,no
4,4,74,72.3150532860787,99.23350199160296,98.54628581574453,99,no
4,8,2,8.893900157375384,0.2425222312045271,0.5358099660653688,99,no
8,8,40,42.032066303845916,14.084955611290258,83.90557129367328,99,no
8,8,77,87.94332351449694,100,100,99,no
8,8,29,30.89655261998385,1.547039851309244,1.8798151001540833,99,no
8,8,2,-2.4258741448819827,0.3937007874015748,0.16666666666666669,99,no
8,8,36,41.67196850976964,5.887862973370801,82.84003486565355,99,no
4,4,99,100.52403300529751,100,100,99,no
8,8,67,68.85650119524455,99.95712039639812,99.97228381374724,99,no
8,8,68,69.65862244259873,99.9648357831071,99.97028910981602,99,no
4,8,9,13.464725952864871,0.471039776692254,0.7104360607545321,99,no
4,8,92,94.1693895614328,99.99480087345326,100,99,no
4,4,33,29.2353710071337,0.7500721223194537,0.74828060522696,99,no
8,8,66,65.95553337065252,99.92733086258266,99.89551440929192,99,no
8,8,40,42.042917001102595,18.421999280546785,66.83081386471217,99,no
4,4,96,100.52403300529751,100,100,99,no
4,4,30,21.040596358605928,0.6801636643817418,0.4923834436067087,99,no
4,4,15,15.78304128307816,0.5065963060686016,0.5288893324019559,99,no
8,8,1,8.639446829661896,0.6825938566552902,0.5439550798385682,99,no
8,8,61,61.435738850313186,99.85923203253304,99.89299230066554,99,no
4,8,10,21.071041136166407,0.6395906619763352,1.1602335633578524,99,no
8,8,1,19.65164586662507,0.78125,1.049534865230182,99,no
4,4,30,32.21296351295584,0.7810009563277016,0.6428144309348216,99,no
4,4,41,44.2774377236262,1.2698660018697414,1.3610133197836896,99,no
4,4,10,8.75791128322292,0.2703132453490221,0.3744650499286733,99,no
4,8,79,73.25302180195442,99.70383801752796,99.99344090253182,99,no
8,8,22,21.531711702803523,0.969258589511754,0.8478912360207588,99,no
8,8,9,9.703305102810566,0.629156929714183,0.9394904458598726,99,no
4,8,86,80.15207407264894,99.9443847095028,100,99,no
4,4,29,23.032936983992958,0.5677120652593287,0.5942099081047467,99,no
4,4,72,66.81672710020548,98.86779960273672,97.30541755382067,99,no
8,8,80,87.94332351449694,100,100,99,no
4,4,6,8.817875958180096,0.3142183817753339,0.3744650499286733,99,no
8,8,32,34.67835986444547,2.236261532290414,4.003643816898201,99,no
4,8,85,78.84525935850571,99.93071290799796,99.99798004282307,99,no
8,8,66,66.63868631150376,99.93472269232628,99.96175908221797,99,no
4,4,97,100.52403300529751,100,100,99,no
4,4,38,33.29766806193297,1.0191190095173923,0.7018569966369352,99,no
4,4,64,58.35207814970968,93.59388993929744,13.272997359154928,99,no
4,4,43,44.88712049493705,1.310547674894821,1.2523880280195288,99,no
4,4,45,47.233968925904414,2.199667574353715,1.3369074683587256,99,no
8,8,15,7.6668978502832354,0.6590136054421769,0.8109177215189873,99,no
4,4,59,54.34019375238198,16.89243887959415,3.174884187542416,99,no
8,8,88,87.94332351449694,100,100,99,no
8,8,89,87.94332351449694,100,100,99,no
8,8,55,62.43151900227391,99.47337962962963,99.90506735086592,99,no
8,4,18,7.714389099629561,0.6639874191857418,0.4116839835326407,99,no
8,8,76,82.76796416735242,99.99580343279196,100,99,no
8,8,87,87.94332351449694,100,100,99,no
4,4,32,30.517279994681786,0.7619521912350598,0.7754743317996174,99,no
4,8,92,100.52403300529751,100,100,99,no
4,4,48,47.026475431694095,2.08236466290269,2.3049106086721416,99,no
4,8,82,74.40296242649683,99.8679380862675,99.99136926595608,99,no
8,8,59,60.09080637771437,99.80699179035504,99.8801725515258,99,no
4,8,5,9.770955774822706,0.37926675094816686,0.5245588936576061,99,no
4,4,76,74.66966013944874,99.41589275959154,99.31030078549075,99,no
8,8,29,34.185278934375674,2.0051639839586883,2.692343647751706,99,no
8,8,48,53.02241186137305,96.77924849131465,99.08760767129866,99,no
8,8,91,87.94332351449694,100,100,99,no
4,8,3,24.045372660664114,0.7096069868995634,1.4891485809682805,99,no
4,4,71,66.03796303765262,97.98356139637808,94.80736208189228,99,no
8,8,58,59.94033095338101,99.7711733568593,99.80072271229676,99,no
8,8,28,30.891503478946348,1.541153889578864,1.7041651650105545,99,no
4,4,53,47.29657468934256,3.507821901323706,1.799775028121485,99,no
4,8,63,56.406012963719185,91.61779575328616,99.68304731446848,99,no
8,4,94,87.94332351449694,100,99.96375498368974,99,no
8,8,54,61.71218180940649,99.37569939336828,99.90506735086592,99,no
4,4,95,98.42918234557793,99.99832478976111,100,99,no
8,4,96,87.94332351449694,100,99.97823839834612,99,no
8,8,48,53.52276172211482,97.09999665898232,99.20274021142149,99,no
8,8,88,87.94332351449694,100,100,99,no
4,4,37,35.13521630750846,0.8421414453897053,1.1095383772430485,99,no
4,4,52,43.67942223376672,1.6021115953594007,1.1768539976825028,99,no
4,4,76,74.43234431439674,99.38936103242052,99.23330390024336,99,no
8,4,41,45.353833036209096,74.28715521589014,0.9844688488467144,99,no
4,4,76,74.86068285681576,99.44273353864205,99.42319562394908,99,no
4,8,80,72.53881008815083,99.76596255400864,99.99344090253182,99,no
4,8,87,81.70199920584977,99.9596833308899,100,99,no
8,8,26,30.89531417390197,1.5459174283786272,1.7041651650105545,99,no
4,4,78,73.84275062541482,99.66885386643771,99.11011043207893,99,no
8,8,25,32.27787333633185,1.3631687242798354,2.784557907845579,99,no
4,4,30,33.57243701468907,0.9979720354360124,0.9799324831207802,99,no
4,8,61,56.17017594692206,83.88713424342879,99.65992178200986,99,no
8,8,56,62.21770477022736,99.4331453312824,99.8843722699008,99,no
4,4,77,75.0853555092149,99.52717695609796,99.28840696344614,99,no
4,8,79,72.92256254502371,99.72561283163522,99.9978220625068,99,no
4,4,55,46.43077748030279,3.027756852291824,1.4330823415108087,99,no
4,4,43,37.063889149135115,1.1442841701144284,0.9134182426347612,99,no
4,4,48,43.568353857040115,1.5802403558860634,1.3610133197836896,99,no
4,4,19,25.37459111228587,0.6094464195022855,0.6198875255623723,99,no
4,4,26,29.925582098557943,0.7562608480039673,0.7492826017642683,99,no
4,4,27,35.041964855061764,0.8380884450784594,0.9033258816551848,99,no
4,8,64,58.21054494938389,93.49619842951516,99.72001097996156,99,no
8,8,45,45.25766581519299,93.21949128322376,94.36455910340452,99,no
