n,perc_correct_params,perc_density_correct,perc_direction_correct,perc_correct_cat_density,RMSE_density,NRMSE_density,RMSE_burn,NRMSE_burn,point_pred_performance_density,direction_kappa,direction_f1,direction_mcc,coverage_density,ticks_included
99,0.022727272727272728,0.050505050505050504,0.5757575757575758,0.5378787878787878,0.3364911985583443,0.011492308340849284,0.2717262731284714,0.009280367892180593,0.7875083074007396,0.16135538523598233,0.5333333333333333,0.16805547848962296,0.9419191919191919,no
198,0.020202020202020204,0.045454545454545456,0.5707070707070707,0.5151515151515151,0.32024694370631357,0.010937512297663907,0.2789187221900877,0.00952601426479326,0.7940419448409204,0.1248960066555741,0.6458333333333334,0.13228089115381989,0.9722222222222222,no
396,0.03535353535353535,0.06313131313131314,0.5555555555555556,0.547979797979798,0.31495452841907534,0.010756758481191587,0.2684904027014566,0.009169852012842244,0.8010334398102887,0.11696736265963915,0.536842105263158,0.11892330643108483,0.9696969696969697,no
594,0.050505050505050504,0.06818181818181818,0.5631313131313131,0.5378787878787878,0.3116558348624792,0.010644096980276276,0.2659418164662666,0.009082809204669152,0.8035529364454443,0.1255935058967683,0.5770171149144254,0.12567218796697274,0.9570707070707071,no
792,0.050505050505050504,0.07828282828282829,0.5505050505050505,0.553030303030303,0.3123016163958846,0.010666152595800596,0.27592810254457917,0.009423874526090923,0.8030682166097308,0.10055124540628813,0.5637254901960784,0.10063350431701139,0.9621212121212122,no
990,0.04292929292929293,0.0707070707070707,0.5606060606060606,0.5404040404040404,0.3169270663710786,0.010824127299322852,0.26923511039639764,0.009195286290144988,0.7987773609625279,0.12522851919561234,0.5515463917525774,0.1264880064136636,0.9393939393939394,no
1188,0.047979797979797977,0.06818181818181818,0.5606060606060606,0.5505050505050505,0.3129762310234763,0.010689192958653318,0.27103820029601977,0.009256867886280364,0.8035692888756287,0.12522851919561234,0.5515463917525774,0.1264880064136636,0.9419191919191919,no
1386,0.05303030303030303,0.07575757575757576,0.5606060606060606,0.5404040404040404,0.31232537740103467,0.01066696411419645,0.2748203701086389,0.009386041730560082,0.8032239438478685,0.12255501222493877,0.565,0.12295588738197494,0.952020202020202,no
1584,0.050505050505050504,0.07323232323232323,0.5631313131313131,0.553030303030303,0.3123272610121666,0.010667028445864011,0.2780093387190963,0.009494955754812967,0.8033879302831334,0.12648543887387156,0.5728395061728395,0.12668098545183434,0.952020202020202,no
99,0.03535353535353535,0.045454545454545456,0.5959595959595959,0.5732323232323232,0.3325756175859067,0.01135857805589203,0.4646102376796132,0.015868005263155727,0.7954149223828122,0.2000807999191999,0.5628415300546448,0.2066411702879054,0.9545454545454546,yes
198,0.03282828282828283,0.06818181818181818,0.6136363636363636,0.5656565656565656,0.31859167148269496,0.010880979173280953,0.46177300476952765,0.015771104198351638,0.8034556070952464,0.23527035896400272,0.5808219178082192,0.243308086688399,0.9368686868686869,yes
396,0.045454545454545456,0.05808080808080808,0.6262626262626263,0.5707070707070707,0.31849402840195695,0.010877644333035504,0.36463150026919133,0.012453394471634096,0.8030177405826394,0.25137952176578793,0.6407766990291263,0.25143099165391386,0.9621212121212122,yes
594,0.05303030303030303,0.07828282828282829,0.6212121212121212,0.5656565656565656,0.3131656087034295,0.010695660844589774,0.36446109959193507,0.012447574714288558,0.8054364490615824,0.24203756635361362,0.6323529411764707,0.2422355723204406,0.9368686868686869,yes
792,0.027777777777777776,0.045454545454545456,0.6388888888888888,0.5631313131313131,0.3079096292902308,0.010516151435997732,0.4614975662844775,0.0157616970459129,0.8054381995339168,0.27979854504756563,0.6379746835443038,0.28137670960041816,0.9570707070707071,yes
990,0.05808080808080808,0.08838383838383838,0.6363636363636364,0.5580808080808081,0.31211771368632013,0.010659871698552504,0.3659600509671531,0.01249876895492769,0.8026197234830752,0.2764186377017561,0.6269430051813473,0.27961392291957154,0.9494949494949495,yes
1188,0.04040404040404041,0.07575757575757576,0.6262626262626263,0.5606060606060606,0.3105102514046733,0.010604971444798118,0.36523949660266586,0.012474159595251982,0.8055634105287557,0.2551850345668971,0.6224489795918366,0.25706697005525436,0.9494949494949495,yes
1386,0.045454545454545456,0.07828282828282829,0.6237373737373737,0.5631313131313131,0.3096051870151895,0.010574060446005779,0.3662191477038985,0.0125076179815933,0.8061270757096859,0.24919835089326609,0.6246851385390428,0.25034835258479377,0.9570707070707071,yes
1584,0.04040404040404041,0.0707070707070707,0.6237373737373737,0.5580808080808081,0.3101090538644659,0.010591269196842132,0.3652777274131031,0.01247546530625883,0.8056178631892201,0.2499618650531345,0.6208651399491095,0.2516542016999427,0.946969696969697,yes
