direction_true,direction_pred,density_true,density_pred,density_pred_lwr,density_pred_upr,burn_true,burn_pred,n,ticks_included
4,4,57,53.442090007679155,41.24039850482936,65.64378151052895,15.89059484856112,3.864864864864865,99,no
4,4,33,26.859166484785725,14.835048065407515,38.883284904163936,0.794874265343482,0.7938858937140825,99,no
8,4,19,13.073341520687801,0.9387308874035387,25.207952153972066,0.8839027706952236,0.4613466334164589,99,no
8,4,11,2.4155310957068608,-9.82865173044665,14.659713921860371,0.55612468900922,0.3937007874015748,99,no
8,4,27,33.51595426199732,21.09461685113381,45.93729167286084,1.6348455654814038,1.1567216814783468,99,no
8,4,18,5.674609665258561,-6.507520931189459,17.856740261706584,0.6563567703650423,0.39661554732945536,99,no
4,8,64,71.07365280442309,58.958227619173655,83.18907798967253,93.3361598124548,99.97987117552334,99,no
4,8,5,12.300052749952933,0.0028416401693860394,24.59726385973648,0.347112653834017,0.35899481451934584,99,no
8,4,17,5.014296367221359,-7.17839262691783,17.206985361360548,0.6360490131886634,0.5211726384364821,99,no
8,4,34,33.627371073601395,21.210886343969243,46.04385580323355,2.1242371197426313,1.1567216814783468,99,no
4,8,3,14.49841379744397,2.274219256626621,26.722608338261317,0.41472265422498705,0.5221023320570832,99,no
8,4,88,82.85564392439368,70.66762560450168,95.04366224428567,100,99.88283875924326,99,no
4,4,36,30.698014032952237,18.661607714321534,42.73442035158294,0.9129369850812736,0.7954428820691778,99,no
8,8,64,60.00438105214545,46.456179493006935,73.55258261128395,99.9379868035918,99.80851063829788,99,no
4,4,17,16.574063287934393,4.408640048196673,28.739486527672113,0.47855869381627103,0.4700573469963335,99,no
4,8,63,70.26930603330038,58.17101009122639,82.36760197537437,89.80311564418734,99.98861618323392,99,no
8,8,57,55.82758813766486,43.62784017145637,68.02733610387335,99.63733749930256,99.68304731446848,99,no
4,4,41,35.54023094085348,23.437904154674662,47.642557727032305,1.0618580585373387,0.9183266048533784,99,no
8,4,92,82.85564392439368,70.66762560450168,95.04366224428567,100,99.87715223525348,99,no
8,4,92,82.85564392439368,70.66762560450168,95.04366224428567,100,99.87855655794588,99,no
4,4,90,96.2717587287984,84.01606044333077,108.52745701426603,99.99114087776184,99.99833983564372,99,no
8,4,34,33.6863985488783,21.27247020544238,46.10032689231422,2.3835117072486796,1.1567216814783468,99,no
4,8,61,68.58411658725254,56.515230192866966,80.65300298163811,82.40102371252482,99.98147075854082,99,no
8,4,32,33.72080309975917,21.30836012213517,46.13324607738318,2.534631600080305,0.7593403521848505,99,no
4,4,94,99.53625955776873,87.15022469590374,111.92229441963372,100,100,99,no
8,8,1,-10.570597460569433,-23.301417268777527,2.1602223476386637,0.1567398119122257,0.16583747927031509,99,no
4,8,63,70.7693653429651,58.66065432961267,82.87807635631754,91.9995956839259,99.99327474892397,99,no
8,8,56,55.83176689962738,43.63191667164982,68.03161712760495,99.65569245653472,99.5884303189665,99,no
8,4,25,9.953469863798766,-2.1852751368788024,22.092214864476333,0.787951960348224,0.5574136008918618,99,no
4,4,86,72.57344871018586,60.42078517740962,84.7261122429621,99.9239219179099,98.9757812670612,99,no
8,4,91,82.85564392439368,70.66762560450168,95.04366224428567,100,99.87715223525348,99,no
4,4,26,18.222741247926045,6.096862599114122,30.34861989673797,0.5292633392824174,0.42338528060535086,99,no
