n,perc_correct,perc_density_correct,perc_direction_correct,perc_correct_cat,RMSE_density,NRMSE_density,RMSE_burn,NRMSE_burn,point_pred_performance,coverage,ticks_included
99,0.017676767676767676,0.027777777777777776,0.5656565656565656,0.21717171717171718,0.7013601465620386,0.023953812452769473,0.26704295641447856,0.009120416844528667,0.5365296619039841,0.9924242424242424,no
198,0.010101010101010102,0.020202020202020204,0.5681818181818182,0.20707070707070707,0.6922523005326872,0.023642748819192327,0.27784039494189255,0.009489185755513694,0.5375104342090918,1,no
396,0.020202020202020204,0.025252525252525252,0.5580808080808081,0.21464646464646464,0.6965025615495544,0.023787909555473698,0.28662434589101793,0.009789187280637513,0.5329393741283384,0.9974747474747475,no
594,0.0025252525252525255,0.020202020202020204,0.553030303030303,0.18686868686868688,0.7011425687067762,0.023946381435817083,0.27852298610583703,0.009512498543962243,0.5278928081286149,0.9823232323232324,no
792,0.010101010101010102,0.025252525252525252,0.547979797979798,0.20959595959595959,0.6925457051982441,0.023652769577237918,0.2764425139912428,0.0094414434104613,0.536876595928617,0.9924242424242424,no
990,0.015151515151515152,0.027777777777777776,0.5580808080808081,0.20707070707070707,0.6947579646389417,0.023728325692023024,0.28131077150286177,0.009607710809566777,0.5342450037734628,0.98989898989899,no
1188,0.007575757575757576,0.022727272727272728,0.5580808080808081,0.1994949494949495,0.6940599648079719,0.023704486645671343,0.27507341985740913,0.009394684232209164,0.5344546623068014,0.9873737373737373,no
1386,0.010101010101010102,0.020202020202020204,0.5606060606060606,0.20707070707070707,0.694034773156312,0.023703626265876174,0.2741840754837345,0.00936431012493011,0.5342707122461563,0.98989898989899,no
1584,0.007575757575757576,0.017676767676767676,0.5631313131313131,0.20202020202020202,0.6936247168811601,0.023689621462269616,0.27784284838478446,0.00948926954885608,0.5344874341362786,0.98989898989899,no
99,0.012626262626262626,0.022727272727272728,0.5959595959595959,0.2222222222222222,0.6858974986603024,0.023425710920800494,0.35573250178278065,0.012149463685424095,0.5448729830434587,0.9974747474747475,yes
198,0.025252525252525252,0.027777777777777776,0.6313131313131313,0.23232323232323232,0.6851902669042794,0.023401556573098448,0.4203652473326053,0.014356889745768578,0.5513124667598149,0.9772727272727273,yes
396,0.010101010101010102,0.017676767676767676,0.5757575757575758,0.21717171717171718,0.6904254078834247,0.023580354278946083,0.35607867965537854,0.012161286826325609,0.5367323677680701,1,yes
594,0.005050505050505051,0.012626262626262626,0.6035353535353535,0.19444444444444445,0.6916534993697782,0.023622297741635195,0.36112590646666387,0.012333666630106524,0.5360897330298144,0.9974747474747475,yes
792,0.027777777777777776,0.03535353535353535,0.6136363636363636,0.21212121212121213,0.6953313075170842,0.023747907283365895,0.3407167399683321,0.011636624819255441,0.5340175831402849,0.9823232323232324,yes
990,0.010101010101010102,0.017676767676767676,0.6237373737373737,0.20959595959595959,0.6895313178237966,0.02354981809049968,0.3591182429381009,0.012265098155169364,0.5377930885277941,0.98989898989899,yes
1188,0.017676767676767676,0.025252525252525252,0.6540404040404041,0.20454545454545456,0.690309584631581,0.023576398524593725,0.3609773253499564,0.012328592084281416,0.5369784789775278,0.9949494949494949,yes
1386,0.010101010101010102,0.015151515151515152,0.6363636363636364,0.20959595959595959,0.6867875908267896,0.023456110567724016,0.3718666823551404,0.012700500321029734,0.5405625815064694,0.9974747474747475,yes
1584,0.015151515151515152,0.022727272727272728,0.6237373737373737,0.20959595959595959,0.6885840723337953,0.023517466464982536,0.372658870229613,0.012727556206462477,0.5392340935334643,0.9873737373737373,yes
