,initial_number_sheep,initial_number_wolves,sheep_gain_from_food,wolf_gain_from_food,sheep_reproduce,wolf_reproduce,grass_regrowth,runs,CV_sheep,CV_wolves,CV_grass
0,62,62,12,25,5,5,25,3,1.8588212196625469,3.8351679010753643,2.660063042683248
1,62,62,12,25,5,5,25,5,2.831685033883195,5.084768038117077,4.564854415422874
2,62,62,12,25,5,5,25,7,3.0419078374913147,3.8226344477309655,4.716281616266364
3,62,62,12,25,5,5,25,10,2.8992669194532485,3.7158428055291224,4.540528202335631
4,62,62,12,25,5,5,25,15,2.9379815709662744,3.8615401134299074,4.446065453913731
5,62,62,12,25,5,5,25,20,2.759564281337321,4.068653589763668,4.478028904702889
6,62,62,12,25,5,5,72,3,4.88722702660643,24.645751924714332,5.309174338286489
7,62,62,12,25,5,5,72,5,3.309672460443976,8.406614866291033,3.3894046970832337
8,62,62,12,25,5,5,72,7,3.132409442498751,5.516355968929072,3.843511137123254
9,62,62,12,25,5,5,72,10,3.3070485285954785,5.93705121967728,4.096018439539065
10,62,62,12,25,5,5,72,15,3.47493092546897,6.395563953969125,4.153412121297428
11,62,62,12,25,5,5,72,20,3.4735501347388134,6.295058213522109,4.296772156334911
12,62,62,12,25,5,15,25,3,1.7714569431664255,2.595907418905276,6.829044612296151
13,62,62,12,25,5,15,25,5,1.3304109590118613,2.3769294732900907,3.7844740458547177
14,62,62,12,25,5,15,25,7,1.3345767721972046,2.2541583931861466,4.503016637348654
15,62,62,12,25,5,15,25,10,1.455610319865164,2.1435416495852015,4.746028933960653
16,62,62,12,25,5,15,25,15,1.4350949698254496,2.1380129639040164,4.818283205368282
17,62,62,12,25,5,15,25,20,0.5989967627509944,2.3225740648203095,4.16828560656502
18,62,62,12,25,5,15,72,3,2.207792207792208,22.401190444557482,2.7548941258474002
19,62,62,12,25,5,15,72,5,1.8668844064862293,4.410121929847107,3.2797088236829754
20,62,62,12,25,5,15,72,7,1.6122204643707534,4.886217691388588,3.076537873488143
21,62,62,12,25,5,15,72,10,1.5152536871212003,4.631904566335725,3.6327423853079956
22,62,62,12,25,5,15,72,15,1.5435086806899931,3.2548001490913467,3.4117245516912242
23,62,62,12,25,5,15,72,20,1.623458482079555,3.6022295544334293,3.4579816885853387
24,62,62,12,25,15,5,25,3,0.5773502691896256,5.50942702939322,23.94380588604229
25,62,62,12,25,15,5,25,5,0.6614378277661477,6.019509339660528,31.535574125910102
26,62,62,12,25,15,5,25,7,0.5400617248673217,7.375454678751727,37.916405596360356
27,62,62,12,25,15,5,25,10,0.5662441267396895,6.815587050135325,23.825066614630906
28,62,62,12,25,15,5,25,15,0.628144264792177,6.876879762920767,22.854413141162542
29,62,62,12,25,15,5,25,20,0.6434926932791868,6.823331289976956,21.905480797010565
30,62,62,12,25,15,5,72,3,3.294653474345442,5.064168085442569,12.44112350388652
31,62,62,12,25,15,5,72,5,2.497789598937141,8.325206978961178,17.140154518905067
32,62,62,12,25,15,5,72,7,2.5127055356317127,7.645098010156944,17.373826288628656
33,62,62,12,25,15,5,72,10,2.1380672538229164,6.509832800027407,14.843550672324778
34,62,62,12,25,15,5,72,15,1.9962655701020833,5.816113558753924,12.893696756649351
35,62,62,12,25,15,5,72,20,2.078492643816154,5.463338731464764,13.694741056314069
36,62,62,12,25,15,15,25,3,0.0,0.0,0.0
37,62,62,12,25,15,15,25,5,0.503771357631602,0.5560461124330818,4.383233969983915
38,62,62,12,25,15,15,25,7,0.5421107161362825,0.48757482888822895,5.036270439252272
39,62,62,12,25,15,15,25,10,0.4580762026016238,0.4483720631323657,4.368560686371336
40,62,62,12,25,15,15,25,15,0.38933073392536033,0.39565255746473676,4.614633958877589
41,62,62,12,25,15,15,25,20,0.5038603128342787,0.4656753465202968,3.558913090332932
42,62,62,12,25,15,15,72,3,0.7508013133359843,0.0,2.2322423400256914
43,62,62,12,25,15,15,72,5,0.7799666264741586,0.35355339059327373,2.517722568089211
44,62,62,12,25,15,15,72,7,0.8138448483596177,0.4427495135886043,3.0950685162029856
45,62,62,12,25,15,15,72,10,0.9287626155893003,0.44589508452286175,3.350649430860015
46,62,62,12,25,15,15,72,15,0.9772571912100588,0.529397381395006,3.51419591955822
47,62,62,12,25,15,15,72,20,0.9981356951939212,0.4208215961698922,3.7990274113457807
48,62,62,12,72,5,5,25,3,15.01110699893027,5.607850124144011,15.827348228654278
49,62,62,12,72,5,5,25,5,2.0197786232132353,4.955613877088202,18.48769675910993
50,62,62,12,72,5,5,25,7,2.036057715286816,3.0958712445383845,19.040412674802756
51,62,62,12,72,5,5,25,10,1.8427604993211666,3.5492432823260436,18.621321431935794
52,62,62,12,72,5,5,25,15,1.6225282336188893,3.4917094420176213,17.46110498829824
53,62,62,12,72,5,5,25,20,1.4475196382087603,3.744134358857382,15.781309581627362
54,62,62,12,72,5,5,72,3,1.8034001919297482,6.212173895883533,6.448856327987757
55,62,62,12,72,5,5,72,5,1.434772499856061,3.579948917986489,8.874805625493563
56,62,62,12,72,5,5,72,7,1.5771244651280563,3.7256296608014146,9.400122655382065
57,62,62,12,72,5,5,72,10,1.7778648878333216,4.064545315979832,10.638992167477905
58,62,62,12,72,5,5,72,15,1.7174173479718495,4.400520109477371,9.37167004982847
59,62,62,12,72,5,5,72,20,1.5847809146901144,4.378185540217337,9.88230439172319
60,62,62,12,72,5,15,25,3,1.9381257131427887,2.2315335921989474,8.273908354066059
61,62,62,12,72,5,15,25,5,1.3082975349918013,1.2593923076823712,6.983338847495125
62,62,62,12,72,5,15,25,7,1.466173051322823,0.6908756389848675,8.444255498129149
63,62,62,12,72,5,15,25,10,1.6486894727694454,0.7393129415411617,9.53626555315759
64,62,62,12,72,5,15,25,15,1.4945904602765123,0.7600032288895506,8.401572141102294
