initial_number_sheep,initial_number_wolves,sheep_gain_from_food,wolf_gain_from_food,sheep_reproduce,wolf_reproduce,grass_regrowth
230,146,32,59,4,5,1
59,112,40,48,1,15,7
204,205,29,79,5,14,66
97,135,8,99,17,14,60
240,226,21,82,3,18,63
191,63,12,10,15,10,11
35,160,24,5,1,12,84
29,119,33,47,3,2,62
221,187,24,69,1,10,78
41,188,37,88,3,1,19
250,178,30,79,17,5,14
48,246,26,17,14,16,50
116,142,7,1,7,4,15
217,111,42,3,11,1,1
5,132,45,68,8,12,16
52,151,25,4,12,9,5
33,9,36,100,1,11,87
123,157,45,68,3,20,18
195,112,19,40,10,1,5
41,228,5,24,15,1,3
137,218,35,72,1,16,8
134,179,5,31,19,0,82
127,158,33,55,20,8,4
189,22,48,88,2,3,62
100,102,19,34,8,17,35
120,149,45,42,8,6,76
24,39,40,38,7,19,65
226,71,25,30,18,0,45
123,48,18,96,4,1,99
212,88,46,3,18,4,55
166,245,45,39,3,7,64
122,18,21,96,9,10,32
75,42,43,6,10,10,40
247,171,6,53,17,19,57
54,123,41,4,5,13,36
26,43,0,73,14,2,28
39,171,40,73,18,12,55
241,22,32,5,19,1,28
24,194,33,33,7,6,84
173,49,10,46,16,20,81
212,229,20,65,15,14,27
78,69,31,75,3,12,73
102,169,11,30,14,17,81
107,123,48,32,14,3,25
193,179,39,77,6,1,45
89,12,38,88,20,16,53
238,222,3,71,8,7,28
166,86,33,57,13,3,97
233,73,17,18,1,10,82
27,46,6,82,20,0,45
196,58,5,28,1,6,37
127,17,18,35,15,13,24
61,46,20,83,5,10,4
95,193,19,56,14,7,1
248,146,50,41,3,0,13
151,56,26,96,18,13,10
122,85,24,84,16,12,8
16,234,27,64,19,2,47
181,232,40,34,10,11,71
3,111,26,33,9,1,67
250,47,22,10,4,5,84
144,112,22,24,12,1,21
39,64,16,43,13,15,88
96,164,28,34,7,19,83
239,214,28,51,4,2,87
114,68,26,59,16,10,38
198,19,40,86,13,0,58
118,40,39,62,9,16,77
206,208,32,9,17,17,47
160,249,19,29,6,5,98
135,194,41,44,12,17,70
43,90,43,89,19,18,61
30,112,7,54,18,13,56
111,142,40,56,4,17,42
32,213,9,98,2,13,2
51,176,42,5,13,2,86
164,127,16,90,18,8,97
244,145,38,9,4,8,79
93,95,32,100,19,1,94
89,94,36,0,3,11,93
140,43,34,61,17,7,52
88,38,19,48,13,13,30
99,68,3,21,15,3,40
3,173,34,45,16,13,95
91,103,20,1,15,4,66
4,142,33,79,10,10,74
219,248,16,25,3,13,51
244,185,14,61,5,13,58
154,23,50,59,5,3,94
197,169,18,19,14,5,27
87,235,4,46,19,5,29
227,46,13,22,8,0,46
203,122,26,66,6,16,50
21,51,41,12,18,1,47
70,83,22,51,8,14,14
