initial_number_sheep,initial_number_wolves,grass_regrowth_time,sheep_gain_from_food,wolf_gain_from_food,sheep_reproduce,wolf_reproduce,technique,sample_size
201,207,60,23,7,3,3,random,1250
37,64,83,48,75,4,9,random,1250
73,8,45,24,14,4,16,random,1250
45,234,22,32,22,14,18,random,1250
153,232,48,44,46,12,4,random,1250
86,143,12,47,0,1,19,random,1250
95,85,76,4,28,4,6,random,1250
152,118,88,16,87,12,4,random,1250
225,219,59,18,91,10,11,random,1250
42,193,14,41,25,14,15,random,1250
100,41,48,42,81,19,14,random,1250
5,25,26,8,94,18,2,random,1250
222,224,55,28,64,15,13,random,1250
215,187,60,31,38,1,8,random,1250
162,129,45,45,22,7,2,random,1250
61,143,38,33,36,14,15,random,1250
25,62,4,22,49,19,8,random,1250
15,209,16,42,69,7,8,random,1250
97,195,19,4,83,2,12,random,1250
109,23,92,10,82,8,7,random,1250
25,237,47,7,82,13,0,random,1250
211,84,64,2,2,17,3,random,1250
118,190,16,30,3,12,3,random,1250
194,134,83,15,86,10,17,random,1250
163,155,49,9,100,3,13,random,1250
174,186,27,25,59,18,13,random,1250
162,196,72,6,62,15,15,random,1250
121,163,9,24,61,10,2,random,1250
191,157,80,40,35,18,20,random,1250
97,48,84,33,92,8,5,random,1250
30,111,50,20,39,15,16,random,1250
102,85,25,32,21,14,6,random,1250
145,35,28,15,29,2,2,random,1250
156,156,27,20,76,4,4,random,1250
191,110,66,36,83,18,16,random,1250
189,221,61,32,56,10,19,random,1250
209,119,40,11,33,13,11,random,1250
230,175,36,3,80,18,7,random,1250
236,43,35,27,64,5,0,random,1250
183,165,96,2,30,16,11,random,1250
234,222,9,47,77,19,18,random,1250
153,20,32,4,1,20,5,random,1250
70,211,94,34,77,18,12,random,1250
199,119,75,31,10,18,9,random,1250
74,125,74,50,13,19,20,random,1250
2,109,31,25,51,11,8,random,1250
84,206,18,19,48,18,4,random,1250
82,80,47,32,92,12,11,random,1250
161,14,29,39,63,7,5,random,1250
161,121,36,49,25,17,1,random,1250
77,52,4,2,88,14,1,random,1250
110,191,76,20,8,9,7,random,1250
10,244,78,16,79,4,14,random,1250
167,237,93,26,98,15,3,random,1250
100,6,28,43,51,17,1,random,1250
231,36,48,5,49,15,12,random,1250
20,196,43,24,8,3,3,random,1250
98,234,80,16,77,11,19,random,1250
192,224,67,33,62,16,12,random,1250
160,56,9,36,83,4,13,random,1250
10,43,26,26,42,4,15,random,1250
85,46,63,32,65,16,10,random,1250
97,147,85,4,52,9,11,random,1250
173,138,61,49,22,3,10,random,1250
50,122,4,11,67,18,4,random,1250
216,241,44,42,70,11,19,random,1250
93,152,20,19,75,3,7,random,1250
148,125,33,14,20,1,16,random,1250
185,36,48,47,32,17,14,random,1250
73,79,58,24,72,9,9,random,1250
129,41,40,35,41,17,12,random,1250
26,248,87,14,48,9,8,random,1250
218,220,78,4,47,8,1,random,1250
105,227,32,2,88,3,19,random,1250
61,229,21,7,16,6,1,random,1250
9,17,52,23,82,4,12,random,1250
86,71,100,48,90,5,16,random,1250
92,167,0,0,22,4,17,random,1250
68,0,70,18,39,13,9,random,1250
108,154,8,26,35,16,15,random,1250
103,22,16,45,78,20,0,random,1250
89,101,59,12,90,10,20,random,1250
9,11,96,23,42,1,0,random,1250
16,108,31,4,6,16,6,random,1250
48,136,63,11,74,18,9,random,1250
213,61,59,31,62,19,5,random,1250
197,236,19,27,22,20,15,random,1250
201,18,68,48,52,1,10,random,1250
72,122,96,43,49,3,12,random,1250
241,155,75,29,76,3,4,random,1250
171,3,76,31,95,16,8,random,1250
81,37,93,36,46,18,4,random,1250
115,134,61,14,64,20,3,random,1250
241,60,21,39,85,10,1,random,1250
229,206,49,11,87,12,1,random,1250
17,229,10,16,16,5,14,random,1250
119,52,97,29,79,13,11,random,1250
241,195,0,37,94,17,7,random,1250
196,232,51,1,1,12,13,random,1250
9,94,95,49,30,4,1,random,1250
218,131,31,17,36,8,9,random,1250
11,76,2,16,58,15,20,random,1250
111,238,90,12,49,16,20,random,1250
5,44,61,6,47,18,16,random,1250
31,222,87,8,22,2,20,random,1250
89,152,85,33,55,17,1,random,1250
205,136,44,10,96,7,10,random,1250
248,239,21,5,89,3,7,random,1250
5,59,99,22,30,12,1,random,1250
186,189,31,48,82,13,18,random,1250
108,136,52,12,34,10,16,random,1250
200,81,53,41,93,14,9,random,1250
175,74,58,30,51,18,3,random,1250
55,231,47,19,95,13,11,random,1250
98,105,47,37,63,4,20,random,1250
110,8,47,3,59,2,5,random,1250
77,250,44,28,84,17,10,random,1250
122,9,35,7,80,13,8,random,1250
247,150,99,48,5,4,2,random,1250
241,20,63,0,22,11,17,random,1250
90,189,71,31,83,4,12,random,1250
171,90,83,22,80,12,3,random,1250
188,239,98,33,3,17,4,random,1250
200,89,9,47,41,15,11,random,1250
73,173,46,39,83,15,0,random,1250
131,47,66,0,30,3,3,random,1250
244,106,0,37,59,15,4,random,1250
140,68,85,33,97,13,3,random,1250
232,24,20,12,92,15,13,random,1250
93,92,38,5,99,20,15,random,1250
13,81,64,23,58,14,8,random,1250
160,46,54,45,40,18,8,random,1250
147,208,13,13,78,3,7,random,1250
89,193,98,48,22,1,17,random,1250
7,124,11,47,48,18,8,random,1250
117,39,62,23,90,14,3,random,1250
60,48,84,24,59,5,14,random,1250
58,174,6,42,95,4,6,random,1250
216,63,66,38,72,11,10,random,1250
33,7,78,37,87,18,1,random,1250
250,84,42,5,82,19,19,random,1250
90,57,26,10,18,11,16,random,1250
75,217,80,19,17,16,14,random,1250
137,0,82,50,63,6,11,random,1250
130,144,33,23,0,8,4,random,1250
104,160,95,48,11,15,12,random,1250
123,188,41,20,20,2,1,random,1250
4,185,44,27,84,1,0,random,1250
171,77,21,26,91,4,5,random,1250
40,205,29,15,77,6,18,random,1250
180,219,3,25,49,14,7,random,1250
197,64,22,24,28,11,5,random,1250
214,77,95,5,69,4,3,random,1250
221,219,7,26,94,18,14,random,1250
156,203,26,50,66,11,19,random,1250
81,158,80,45,53,12,12,random,1250
69,83,48,41,25,16,4,random,1250
26,216,12,0,64,17,13,random,1250
89,215,50,32,82,3,4,random,1250
44,106,61,19,51,3,17,random,1250
211,109,80,18,73,6,18,random,1250
139,146,62,33,77,19,15,random,1250
168,52,63,8,82,13,18,random,1250
247,214,93,36,72,2,13,random,1250
11,20,86,13,48,20,5,random,1250
145,23,21,35,86,3,6,random,1250
33,47,71,21,91,19,0,random,1250
241,123,19,11,64,20,1,random,1250
142,108,3,46,4,1,20,random,1250
118,58,4,14,40,20,4,random,1250
224,15,14,19,14,20,10,random,1250
175,39,31,12,56,10,0,random,1250
75,147,63,0,84,15,5,random,1250
90,219,44,27,12,5,15,random,1250
246,21,41,11,37,16,10,random,1250
83,89,29,50,15,13,6,random,1250
237,46,10,46,100,13,3,random,1250
123,179,17,26,64,2,8,random,1250
