initial_number_sheep,initial_number_wolves,grass_regrowth_time,sheep_gain_from_food,wolf_gain_from_food,sheep_reproduce,wolf_reproduce
244,22,31,39,74,15,12
217,24,81,30,59,17,17
38,61,19,25,29,12,0
81,173,57,45,79,18,9
118,218,91,21,34,4,6
22,47,2,34,95,20,3
162,85,30,4,16,16,10
13,113,82,33,61,13,6
241,67,90,16,28,16,12
93,76,62,6,31,14,15
132,73,19,3,48,13,16
98,80,67,17,63,9,13
55,76,82,47,20,2,2
175,141,32,38,75,5,17
236,68,65,22,37,6,6
171,12,42,17,93,16,19
28,124,14,4,1,12,18
4,189,89,31,6,8,4
58,166,7,44,68,18,12
160,98,66,27,44,8,4
185,117,32,24,28,16,9
15,134,13,16,1,1,9
64,238,10,12,16,16,12
75,42,58,21,18,4,19
219,46,80,14,51,6,12
28,85,43,14,26,1,10
49,238,48,28,44,4,13
214,175,16,9,2,7,6
18,185,0,30,34,2,12
175,8,54,11,94,4,16
250,44,43,20,97,2,16
95,11,60,15,18,19,11
86,119,78,40,13,6,11
87,229,67,30,19,4,14
83,1,11,28,18,19,2
107,250,80,10,16,11,15
241,18,98,43,95,8,19
44,18,35,24,62,17,17
128,236,34,32,50,13,13
157,36,56,23,56,18,20
200,183,25,9,4,14,7
12,81,100,28,48,19,1
136,201,91,4,26,9,19
130,73,0,19,27,5,9
210,9,30,27,18,3,18
10,230,28,37,43,8,9
11,69,25,46,9,8,5
9,221,27,31,41,5,17
110,87,48,26,80,1,13
90,184,26,22,43,1,1
88,94,23,13,93,2,13
137,101,33,25,54,5,10
215,17,88,22,54,9,0
73,206,11,1,19,13,17
208,145,10,7,45,19,13
174,12,14,1,26,11,3
149,241,64,28,78,19,1
34,13,84,40,46,8,15
63,193,90,45,85,8,17
243,108,82,48,67,7,12
92,80,85,14,51,19,0
187,186,15,24,44,11,18
199,224,97,29,59,19,16
18,130,85,25,4,18,6
146,114,0,35,96,7,2
148,137,45,40,30,10,15
223,34,22,8,43,1,13
136,225,44,30,36,19,4
41,212,88,17,66,6,9
21,67,94,48,25,1,18
204,210,3,28,59,1,9
60,134,67,13,59,20,5
162,193,96,38,54,6,8
153,7,8,44,26,14,1
103,81,29,33,51,3,18
51,146,95,15,90,13,2
52,123,93,21,2,19,20
212,93,9,16,78,17,5
104,71,59,40,26,16,20
120,140,25,25,20,4,17
229,8,58,31,59,11,7
115,68,14,2,0,6,15
120,240,44,30,70,6,12
61,196,72,18,35,18,10
84,227,11,49,58,6,12
78,165,36,11,80,2,3
135,85,15,18,35,9,9
194,128,61,39,94,10,19
217,111,89,14,4,18,7
144,107,78,34,56,14,10
144,31,84,18,76,10,10
191,119,2,29,46,1,17
53,7,18,42,95,3,19
73,193,66,49,78,12,8
160,86,26,33,6,2,7
206,132,81,22,85,11,2
191,21,74,29,25,20,16
226,143,16,9,47,18,3
184,210,96,26,21,12,14
172,31,75,20,74,5,14
120,56,83,38,90,9,16
25,101,46,34,62,8,13
143,178,6,22,82,4,20
122,218,95,36,46,10,5
71,126,23,49,36,14,5
176,126,91,43,15,13,12
200,67,11,20,83,3,19
19,170,38,41,51,18,16
237,98,58,12,93,13,9
116,179,32,13,30,11,20
97,157,40,15,56,10,3
155,204,11,24,98,8,13
47,31,99,3,22,8,10
92,192,61,32,38,20,3
42,137,65,2,47,5,1
14,224,99,47,20,14,17
186,244,92,19,25,1,10
224,136,64,7,9,4,5
26,108,98,43,74,2,5
125,29,58,44,18,15,1
247,80,90,49,72,12,4
112,212,64,21,95,1,14
57,136,22,11,17,13,2
151,62,25,27,67,15,18
210,19,61,39,99,10,13
1,84,97,43,58,3,10
29,9,33,16,17,3,4
154,25,23,37,99,10,0
93,236,0,2,84,8,5
100,245,38,8,7,12,16
206,154,48,24,36,6,6
111,174,63,22,58,4,17
99,117,8,38,90,9,9
39,44,90,7,69,18,13
191,181,50,2,84,16,11
155,99,2,45,88,11,13
246,89,26,23,8,19,19
100,225,51,5,94,18,9
103,214,55,35,12,16,6
201,176,45,23,81,6,3
224,4,25,50,62,20,0
150,83,87,41,50,13,9
122,162,66,49,55,10,9
69,143,24,50,20,9,6
19,25,96,14,90,5,20
51,224,71,23,5,2,4
171,186,64,39,87,18,6
225,195,22,3,37,14,11
81,205,9,23,31,19,9
141,34,13,13,66,3,12
239,228,83,27,56,6,4
145,134,6,21,98,13,15
48,92,93,7,77,13,13
237,4,40,24,3,13,19
229,10,74,4,56,18,0
36,219,93,18,96,16,11
109,155,53,37,34,20,3
169,226,94,50,64,17,13
233,236,41,35,97,1,20
187,125,79,37,28,1,6
123,169,92,14,72,10,13
160,15,5,11,3,7,17
219,170,74,46,19,11,11
