,density,directions,run,burn_percentage,tick
0,0,0,0,-100,-100
1,5,4,1,0.1929880990672242,13.0
2,5,4,2,0.37926675094816686,14.0
3,5,4,3,0.3639973527465255,13.0
4,5,4,4,0.4124365482233503,13.0
5,5,4,5,0.5211726384364821,14.0
6,5,4,6,0.31496062992125984,14.0
7,5,4,7,0.418140881312319,14.0
8,5,4,8,0.2302631578947368,13.0
9,5,4,9,0.347112653834017,14.0
10,5,4,10,0.2880921895006402,13.0
11,5,4,11,0.19077901430842606,13.0
12,5,4,12,0.32185387833923396,14.0
13,5,4,13,0.35347043701799485,13.0
14,5,4,14,0.47664442326024786,13.0
15,5,4,15,0.21991831605403708,13.0
16,5,4,16,0.4098360655737705,14.0
17,5,4,17,0.19543973941368079,13.0
18,5,4,18,0.2578981302385558,13.0
19,5,4,19,0.5064893953782843,13.0
20,5,4,20,0.37938665823585205,13.0
21,5,4,21,0.2916396629941672,13.0
22,5,4,22,0.37593984962406013,13.0
23,5,4,23,0.5761843790012804,13.0
24,5,4,24,0.28607755880483154,13.0
25,5,4,25,0.5196492367651835,14.0
26,5,4,26,0.3784295175023652,14.0
27,5,4,27,0.2495321272613849,13.0
28,5,4,28,0.31357792411414237,13.0
29,5,4,29,0.4781638508128785,14.0
30,5,4,30,0.38253108065030283,13.0
31,5,4,31,0.5727012408526885,14.0
32,5,4,32,0.2858050174658622,14.0
33,5,4,33,0.356102298478472,13.0
34,5,4,34,0.4715498270983967,13.0
35,5,4,35,0.4475703324808184,15.0
36,5,4,36,0.34942820838627703,13.0
37,5,4,37,0.28445006321112515,13.0
38,5,4,38,0.34612964128382634,14.0
39,5,4,39,0.48907727420932506,14.0
40,5,4,40,0.5725190839694656,14.0
41,5,4,41,0.1882648258550361,13.0
42,5,4,42,0.4755865567533291,13.0
43,5,4,43,0.25101976780671476,13.0
44,5,4,44,0.6745904272406039,14.0
45,5,4,45,0.3181673560292714,14.0
46,5,4,46,0.49883604921849023,13.0
47,5,4,47,0.41165294490183657,13.0
48,5,4,48,0.34843205574912894,13.0
49,5,4,49,0.6597549481621112,15.0
50,5,4,50,0.1965280052407468,13.0
51,5,8,1,0.6231551328304362,14.0
52,5,8,2,0.24968789013732834,14.0
53,5,8,3,0.5169628432956381,16.0
54,5,8,4,0.5071315372424723,16.0
55,5,8,5,0.41414463204842306,14.0
56,5,8,6,0.3893575600259572,13.0
57,5,8,7,0.5482102547565302,14.0
58,5,8,8,0.6474587245063127,14.0
59,5,8,9,0.4331683168316832,15.0
60,5,8,10,0.506649778340722,14.0
61,5,8,11,0.3399258343634116,14.0
62,5,8,12,0.5590062111801243,14.0
63,5,8,13,0.31918289179699966,13.0
64,5,8,14,0.4231770833333333,13.0
65,5,8,15,0.4497269514937359,13.0
66,5,8,16,0.45977011494252873,14.0
67,5,8,17,0.3206155819172812,14.0
68,5,8,18,0.6001263423878711,14.0
69,5,8,19,0.4858791375645309,14.0
70,5,8,20,0.5888125613346418,14.0
71,5,8,21,0.35575679172056923,13.0
72,5,8,22,0.4716981132075472,15.0
73,5,8,23,0.46396535725332505,14.0
74,5,8,24,0.41074249605055296,14.0
75,5,8,25,0.38809831824062097,14.0
76,5,8,26,0.280723643169058,15.0
77,5,8,27,0.5466237942122186,14.0
78,5,8,28,0.6385696040868455,15.0
79,5,8,29,0.6675143038779402,15.0
80,5,8,30,0.5800837898807605,15.0
81,5,8,31,0.6062539885130823,14.0
82,5,8,32,0.4438807863031071,14.0
83,5,8,33,0.356102298478472,14.0
84,5,8,34,0.6101477199743095,14.0
85,5,8,35,0.6146878032999029,14.0
86,5,8,36,0.6178861788617886,15.0
87,5,8,37,0.2204030226700252,13.0
88,5,8,38,0.6702840727736993,14.0
89,5,8,39,0.4749841671944269,14.0
90,5,8,40,0.4434589800443459,14.0
91,5,8,41,0.5291005291005291,14.0
92,5,8,42,0.4180064308681672,14.0
93,5,8,43,0.7345895879910571,14.0
94,5,8,44,0.4609711124769515,14.0
95,5,8,45,0.5915317559153176,15.0
96,5,8,46,0.4821600771456124,14.0
97,5,8,47,0.5640864932623002,14.0
98,5,8,48,0.2232142857142857,14.0
99,5,8,49,0.42139384116693684,14.0
100,5,8,50,0.6420545746388443,15.0
101,50,4,1,1.9073134947213983,48.0
102,50,4,2,2.8544883706029345,48.0
103,50,4,3,3.8352948640675057,96.0
104,50,4,4,3.5331770074149187,95.0
105,50,4,5,2.003880530551226,32.0
106,50,4,6,2.518456965706798,51.0
