,density,burn_percentage,directions,ticks
0,1.0,0.3236245954692557,4.0,13.0
1,1.0,0.46511627906976744,4.0,13.0
2,1.0,0.16666666666666669,4.0,13.0
3,1.0,0.16583747927031509,4.0,13.0
4,1.0,0.16129032258064516,4.0,13.0
5,1.0,0.6825938566552902,4.0,13.0
6,1.0,0.1567398119122257,4.0,13.0
7,1.0,0.15873015873015872,4.0,13.0
8,1.0,0.78125,4.0,13.0
9,1.0,0.15847860538827258,4.0,13.0
10,2.0,0.16273393002441008,4.0,13.0
11,2.0,0.3103180760279286,4.0,13.0
12,2.0,0.24590163934426232,4.0,13.0
13,2.0,0.15822784810126583,4.0,13.0
14,2.0,0.24429967426710095,4.0,13.0
15,2.0,0.2425222312045271,4.0,13.0
16,2.0,0.3918495297805642,4.0,13.0
17,2.0,0.16488046166529266,4.0,13.0
18,2.0,0.39370078740157477,4.0,14.0
19,2.0,0.5622489959839357,4.0,13.0
20,3.0,0.21621621621621623,4.0,13.0
21,3.0,0.42238648363252373,4.0,13.0
22,3.0,0.2653927813163482,4.0,13.0
23,3.0,0.41472265422498705,4.0,13.0
24,3.0,0.7096069868995634,4.0,13.0
25,3.0,0.3186404673393521,4.0,13.0
26,3.0,0.2616431187859759,4.0,13.0
27,3.0,0.37614185921547555,4.0,13.0
28,3.0,0.20844189682126105,4.0,13.0
29,3.0,0.6305832895428272,4.0,14.0
30,4.0,0.16142050040355124,4.0,13.0
31,4.0,0.6346687822292741,4.0,13.0
32,4.0,0.20894274968658588,4.0,13.0
33,4.0,0.4004805766920304,4.0,13.0
34,4.0,0.5511811023622047,4.0,14.0
35,4.0,0.5118110236220472,4.0,13.0
36,4.0,0.3946329913180742,4.0,13.0
37,4.0,0.5250403877221325,4.0,13.0
38,4.0,0.5537974683544303,4.0,14.0
39,4.0,0.31783869686134286,4.0,13.0
40,5.0,0.1929880990672242,4.0,13.0
41,5.0,0.37926675094816686,4.0,14.0
42,5.0,0.3639973527465255,4.0,13.0
43,5.0,0.4124365482233503,4.0,13.0
44,5.0,0.5211726384364821,4.0,14.0
45,5.0,0.31496062992125984,4.0,14.0
46,5.0,0.418140881312319,4.0,14.0
