,initial_number_sheep,initial_number_wolves,sheep_gain_from_food,wolf_gain_from_food,sheep_reproduce,wolf_reproduce,grass_regrowth,run,mean_wolves,mean_sheep,mean_grass,wolves,sheep,grass
0,0,0,0,0,0,0,0,0,-100,-100,-100,-100,-100,-100
1,62,62,12,25,5,5,25,1,275.0,329.0,590.0,275.0,329.0,590.0
2,62,62,12,25,5,5,25,2,355.5,355.5,779.5,436.0,128.0,969.0
3,62,62,12,25,5,5,25,3,308.8333333333333,308.8333333333333,617.1666666666666,296.0,450.0,482.0
4,62,62,12,25,5,5,25,4,319.3333333333333,319.3333333333333,650.9166666666666,338.0,321.0,617.0
5,62,62,12,25,5,5,25,5,321.1333333333333,321.1333333333333,667.1166666666666,347.0,253.0,698.0
6,62,62,12,25,5,5,25,6,308.63333333333327,308.63333333333327,665.6166666666667,272.0,294.0,689.0
7,62,62,12,25,5,5,25,7,323.77619047619044,323.77619047619044,687.7595238095238,378.0,196.0,844.0
8,62,62,12,25,5,5,25,8,307.15119047619044,307.15119047619044,683.3845238095238,245.0,232.0,809.0
9,62,62,12,25,5,5,25,9,302.4845238095238,302.4845238095238,655.606746031746,203.0,403.0,559.0
10,62,62,12,25,5,5,25,10,323.3845238095238,323.3845238095238,667.406746031746,412.0,291.0,677.0
11,62,62,12,25,5,5,25,11,312.7481601731601,312.7481601731601,661.4976551226551,295.0,342.0,612.0
12,62,62,12,25,5,5,25,12,310.9148268398268,310.9148268398268,654.5809884559886,273.0,403.0,529.0
13,62,62,12,25,5,5,25,13,306.7609806859806,306.7609806859806,658.965603840604,219.0,418.0,586.0
14,62,62,12,25,5,5,25,14,302.6181235431235,302.6181235431235,650.5370324120324,161.0,564.0,468.0
15,62,62,12,25,5,5,25,15,317.0847902097901,317.0847902097901,660.0036990786991,378.0,328.0,610.0
16,62,62,12,25,5,5,25,16,312.0222902097901,312.0222902097901,662.5036990786991,297.0,298.0,650.0
17,62,62,12,25,5,5,25,17,313.6105255039078,313.6105255039078,666.0919343728168,324.0,269.0,711.0
18,62,62,12,25,5,5,25,18,304.49941439279667,304.49941439279667,651.9252677061501,160.0,497.0,456.0
19,62,62,12,25,5,5,25,19,310.8678354454282,310.8678354454282,660.5042150745712,281.0,319.0,619.0
20,62,62,12,25,5,5,25,20,313.96783544542825,313.96783544542825,664.6042150745712,343.0,244.0,701.0
21,62,62,12,25,5,5,25,21,308.729740207333,308.729740207333,654.1756436459998,233.0,403.0,482.0
22,62,62,12,25,5,5,25,22,312.4570129346057,312.4570129346057,663.4938254641816,315.0,282.0,687.0
23,62,62,12,25,5,5,25,23,317.15266510851876,317.15266510851876,674.8851298120077,423.0,128.0,949.0
24,62,62,12,25,5,5,25,24,307.56933177518545,307.56933177518545,652.9267964786744,193.0,581.0,422.0
25,62,62,12,25,5,5,25,25,308.0893317751854,308.0893317751854,661.4467964786744,206.0,356.0,635.0
26,62,62,12,25,5,5,25,26,309.5893317751854,309.5893317751854,665.4083349402129,245.0,279.0,738.0
