,initial_number_sheep,initial_number_wolves,sheep_gain_from_food,wolf_gain_from_food,sheep_reproduce,wolf_reproduce,grass_regrowth,run,wolves,sheep,grass,tick
0,0,0,0,0,0,0,0,0,-100,-100,-100,-100
1,62,62,12,25,5,5,25,1,41.0,269.0,885.0,50
2,62,62,12,25,5,5,25,1,275.0,329.0,590.0,100
3,62,62,12,25,5,5,25,1,361.0,0.0,2498.0,150
4,62,62,12,25,5,5,25,2,61.0,267.0,864.0,50
5,62,62,12,25,5,5,25,2,381.0,171.0,857.0,100
6,62,62,12,25,5,5,25,2,138.0,3.0,2509.0,150
7,62,62,12,25,5,5,25,3,59.0,295.0,782.0,50
8,62,62,12,25,5,5,25,3,304.0,298.0,636.0,100
9,62,62,12,25,5,5,25,3,278.0,5.0,2475.0,150
10,62,62,12,25,5,5,25,4,50.0,286.0,827.0,50
11,62,62,12,25,5,5,25,4,273.0,419.0,537.0,100
12,62,62,12,25,5,5,25,4,378.0,0.0,2476.0,150
13,62,62,12,25,5,5,25,5,60.0,206.0,1010.0,50
14,62,62,12,25,5,5,25,5,260.0,304.0,641.0,100
15,62,62,12,25,5,5,25,5,306.0,8.0,2261.0,150
16,62,62,12,25,5,5,25,6,47.0,294.0,841.0,50
17,62,62,12,25,5,5,25,6,335.0,312.0,575.0,100
18,62,62,12,25,5,5,25,6,270.0,2.0,2475.0,150
19,62,62,12,25,5,5,25,7,64.0,410.0,646.0,50
20,62,62,12,25,5,5,25,7,456.0,138.0,878.0,100
21,62,62,12,25,5,5,25,7,189.0,0.0,2564.0,150
22,62,62,12,25,5,5,25,8,55.0,195.0,1018.0,50
23,62,62,12,25,5,5,25,8,196.0,434.0,514.0,100
24,62,62,12,25,5,5,25,8,541.0,1.0,2254.0,150
25,62,62,12,25,5,5,25,9,64.0,311.0,792.0,50
26,62,62,12,25,5,5,25,9,410.0,173.0,796.0,100
27,62,62,12,25,5,5,25,9,175.0,6.0,2485.0,150
28,62,62,12,25,5,5,25,10,65.0,175.0,1077.0,50
29,62,62,12,25,5,5,25,10,233.0,326.0,683.0,100
30,62,62,12,25,5,5,25,10,331.0,8.0,2196.0,150
31,62,62,12,25,5,5,25,11,28.0,316.0,863.0,50
32,62,62,12,25,5,5,25,11,295.0,510.0,463.0,100
33,62,62,12,25,5,5,25,11,397.0,0.0,2521.0,150
34,62,62,12,25,5,5,25,12,50.0,261.0,836.0,50
35,62,62,12,25,5,5,25,12,267.0,485.0,526.0,100
36,62,62,12,25,5,5,25,12,458.0,0.0,2525.0,150
37,62,62,12,25,5,5,25,13,59.0,235.0,978.0,50
38,62,62,12,25,5,5,25,13,278.0,344.0,599.0,100
39,62,62,12,25,5,5,25,13,316.0,4.0,2394.0,150
40,62,62,12,25,5,5,25,14,42.0,341.0,769.0,50
41,62,62,12,25,5,5,25,14,327.0,393.0,566.0,100
42,62,62,12,25,5,5,25,14,394.0,3.0,2416.0,150
43,62,62,12,25,5,5,25,15,67.0,258.0,935.0,50
44,62,62,12,25,5,5,25,15,302.0,269.0,677.0,100
45,62,62,12,25,5,5,25,15,303.0,0.0,2422.0,150
46,62,62,12,25,5,5,25,16,43.0,183.0,1129.0,50
47,62,62,12,25,5,5,25,16,170.0,478.0,520.0,100
48,62,62,12,25,5,5,25,16,561.0,12.0,1944.0,150
49,62,62,12,25,5,5,25,17,42.0,400.0,628.0,50
50,62,62,12,25,5,5,25,17,412.0,260.0,626.0,100
51,62,62,12,25,5,5,25,17,265.0,0.0,2565.0,150
52,62,62,12,25,5,5,25,18,59.0,284.0,805.0,50
53,62,62,12,25,5,5,25,18,357.0,214.0,752.0,100
54,62,62,12,25,5,5,25,18,196.0,5.0,2425.0,150
55,62,62,12,25,5,5,25,19,57.0,183.0,1085.0,50
56,62,62,12,25,5,5,25,19,280.0,411.0,561.0,100
57,62,62,12,25,5,5,25,19,326.0,1.0,2465.0,150
58,62,62,12,25,5,5,25,20,51.0,195.0,1081.0,50
59,62,62,12,25,5,5,25,20,185.0,454.0,522.0,100
60,62,62,12,25,5,5,25,20,510.0,6.0,2165.0,150
61,62,62,12,25,5,5,25,21,63.0,221.0,908.0,50
62,62,62,12,25,5,5,25,21,289.0,324.0,613.0,100
63,62,62,12,25,5,5,25,21,266.0,1.0,2485.0,150
64,62,62,12,25,5,5,25,22,48.0,179.0,1108.0,50
65,62,62,12,25,5,5,25,22,217.0,470.0,498.0,100
66,62,62,12,25,5,5,25,22,476.0,1.0,2261.0,150
67,62,62,12,25,5,5,25,23,48.0,273.0,835.0,50
68,62,62,12,25,5,5,25,23,284.0,386.0,561.0,100
