noise,perc_correct_params,perc_initial_sheep_correct,perc_initial_wolves_correct,perc_food_sheep_correct,perc_food_wolves_correct,perc_sheep_rep_correct,perc_wolves_rep_correct,perc_grass_correct,RMSE_initial_sheep,RMSE_initial_wolves,RMSE_food_sheep,RMSE_food_wolves,RMSE_sheep_rep,RMSE_wolves_rep,RMSE_grass,NRMSE_initial_sheep,NRMSE_initial_wolves,NRMSE_food_sheep,NRMSE_food_wolves,NRMSE_sheep_rep,NRMSE_wolves_rep,NRMSE_grass,ppp_initial_sheep,ppp_initial_wolves,ppp_food_sheep,ppp_food_wolves,ppp_sheep_rep,ppp_wolves_rep,ppp_grass,sample_size,sample_method,summarise_runs,datapoints
clean,0,0,0,0,0,0,0,0,6.126670704348324,6.496912374791766,1.3069763363657494,1.883298074122504,0.443282233836492,0.44581799539274347,2.505356078550583,0.0855649335022319,0.08948107438713311,0.08972928801061883,0.06499963120223382,0.08078015653835262,0.08129806176701157,0.08722540499130949,0.07560152866211085,0.01116390039195012,0.01556087254478844,0.3428686304209606,0.13340488218627214,0.11615171834245774,0.040049180827027506,40,trial,full,endpoints
output noise,0,0,0,0,0,0,0,0,6.182020852057902,6.478842359755771,1.307952655099376,1.892174145889257,0.44305011601794325,0.4420941818734,2.5125439085821806,0.08635079461632589,0.08923264773821565,0.08979433612373756,0.06531819147104771,0.08073870488342354,0.08061771148312512,0.08748597613875214,0.06541932539069088,0.014256927699353406,0.015379102568727654,0.34126554636065365,0.13435706028385114,0.12778321520495312,0.03900353993321659,40,trial,full,endpoints
clean,0,0,0,0,0,0,0,0,24.247021965427997,26.995116134899444,5.499289135768155,8.797124560971977,1.861287538284529,1.741368183322966,10.446906399769874,0.3466139783940163,0.39737371640463764,0.4009723780584651,0.29021509015045754,0.4148499124942562,0.3552150158566997,0.36279177147026803,0.059547940587968196,-0.04259239859635775,-0.004222867141943176,0.17535608902679342,0.11154412619683414,0.05626084276828751,-0.015811400578951494,40,trial,summarised,endpoints
output noise,0,0,0,0,0,0,0,0,23.467628243276685,26.899844442974736,5.467177897911478,8.706673027153535,1.851426971151573,1.7845785553287827,10.290386429827329,0.3349156030854723,0.3966802952480188,0.3984031840594374,0.2873703909089067,0.41241037186187396,0.36090794407315824,0.35801593565929624,0.09920420555189509,-0.03973451243357797,0.0016625485069900804,0.18512959320189842,0.11680517265317061,0.049747898511793134,9.954449462623804e-4,40,trial,summarised,endpoints
clean,0,0,0,0,0,0,0,0,3.626019867405828,4.9033394017189735,1.868200882881347,1.8286240339932043,0.565948970747508,0.4569712696468747,2.1030135434579766,0.05091718485425254,0.0679542647557236,0.12798278585934872,0.0630266953519998,0.10302719970981311,0.08324667552618985,0.07324292119560155,0.5956220445993397,0.5168899809174223,0.160838479027094,0.5411753761107353,0.3046311328433284,0.4856590252243784,0.5781980665495849,40,trial,full,timesteps 10
double noise,0,0,0,0,0,0,0,0,10.721066951781863,13.65890286186675,4.833760276353902,5.3615315215210995,1.1882697303007548,0.998491139821852,6.526388314171201,0.1500424735298914,0.18904535682220558,0.3345262072288313,0.18466366356300265,0.21672458508624315,0.1828855620243846,0.22717245250541276,-0.3081104477450425,-0.6411341164776176,-1.9834013086347357,-0.6406900233092386,-1.061974458326159,-0.6504652772060477,-0.6897579174294121,40,trial,full,timesteps 10
output noise,0,0,0,0,0,0,0,0,8.027183606424716,9.921013277881997,4.326474036798003,4.5296973791632436,1.1794713870969642,0.9562254603093931,4.511778655283702,0.11189470601126222,0.1375662346496927,0.29693735438026064,0.15591739419421416,0.21487321966147493,0.1748809338728288,0.15740396614056473,-0.03164662980843704,-0.28463450332282697,-1.6362806860436883,-0.4295169469393202,-0.872681730150682,-0.5772320928172849,-0.3925987041255051,40,trial,full,timesteps 10
clean,0,0,0,0,0,0,0,0,2217.7801474802163,1333.8953650431029,388.0144755028706,313.0181183546146,119.52026590275187,177.25518514547076,679.3443433980542,29.035557090229272,18.045412737877157,28.164597869551802,10.675604171513008,24.59853111467764,31.324289272546693,23.809954241285016,-43.84125955133668,-27.023006111813622,-47.903737949772975,-17.849263854154366,-37.73695487538067,-46.02536077254924,-36.775877816015516,40,trial,summarised,timesteps 10
double noise,0,0,0,0,0,0,0,0,1396.6106044594035,758.4523323925226,265.0903930756367,338.42833347009645,108.97505782403059,80.73298004247039,442.5534517040552,18.734836487979244,10.030929866129974,21.25474420826344,11.21509641924709,20.689178555455797,15.3609879138183,16.625698392178478,-36.87317046070317,-21.97885089599822,-48.76037195426172,-21.536604059011886,-38.16696240463857,-33.852826724851255,-34.25560896645933,40,trial,summarised,timesteps 10
output noise,0,0,0,0,0,0,0,0,2838.8004868899798,1413.5142526836057,458.33333709677885,407.0100334964611,167.7607893369782,198.34482964076855,837.5314194008828,36.74634538729255,19.027983642732938,31.296338482935987,13.828415471887713,32.646412314382324,35.30375408413393,29.156744994064635,-61.54476071015891,-32.096955706528156,-57.577410566004374,-24.58393164219399,-51.56982751158036,-56.73525059918132,-50.20018460740491,40,trial,summarised,timesteps 10
clean,0,0,0,0,0,0,0,0,3.4906531927582933,5.1175439650768375,1.2607480391726043,1.1524069939158388,0.44490456594823447,0.5132503082814827,1.4609954604392064,0.04874258978070516,0.07007682932613055,0.08628829764568131,0.03991383417598078,0.08081823474408019,0.09372075556144571,0.0499972587794778,0.5981878578726212,0.523971753936956,0.26982011454456084,0.6452882823306878,0.42111788459685573,0.4738880675116292,0.6377462419741541,40,trial,full,timesteps 20
double noise,0,0,0,0,0,0,0,0,9.781679770778286,15.189214559162643,2.8824053965633976,2.8000196829320396,0.8878001224039597,0.9669817130063838,4.353807161278567,0.13695784556000934,0.209168037520174,0.20012328896942197,0.0966925391912351,0.16180691847362808,0.1773366583221988,0.15183456109958232,-0.23794218231833425,-0.136142063210223,-0.36719695538008457,0.23204795440091017,-0.3070272601448508,-0.5054531852410928,0.03781932313616805,40,trial,full,timesteps 20
output noise,0,0,0,0,0,0,0,0,7.251831786667919,5.32696004619039,1.4609033825320052,1.8424728727533097,0.6062572196328843,0.7855630340398431,2.1243162955045314,0.10170635153560746,0.07334943301350609,0.1007320767712551,0.06381630918623137,0.11032155586985684,0.14405067254313306,0.0738739120799265,0.02302119122738282,0.3506253985806256,0.05630965882367418,0.4364515473816294,0.008423809544108218,-0.1972356238705965,0.2709559445177251,40,trial,full,timesteps 20
