density,directions,total_ticks,mean_burn,sd_burn,trend_burn,middle,end
1,4,13,0.26559407462887313,0.01638769423879938,3.3856789389064e-4,0.2797700332136063,0.23513191338222184
1,8,13,0.25246094151888926,0.02130091432226028,0.00144174846545224,0.2768241728842068,0.2498819661067717
2,4,13,0.21821384435518265,0.01435746380210275,-8.541910952797431e-4,0.23822642283191103,0.1918063725791223
2,8,14,0.38181611345262606,0.0680369629641971,0.00337409772948232,0.37928114537771535,0.6063907452957342
3,4,13,0.4083703714074656,0.02679143001443108,4.562268614794612e-4,0.41259904747662746,0.4373687837790686
3,8,14,0.41654254537231034,0.01995251359552191,-3.5297515993924317e-4,0.42959811840143936,0.43226246930029266
4,4,14,0.4116195449614352,0.05264137887895894,0.00206793240715882,0.3860988065860209,0.5847508477136989
4,8,14,0.4479538120828583,0.04453147101349748,0.00809542181154568,0.4788553111390204,0.555768654133492
5,4,14,0.37097096132257623,0.02712685324855745,-3.8505642110214094e-4,0.3362485502218625,0.4168259506791775
5,8,15,0.44864252059547577,0.04833819878005698,0.00865560997711006,0.4558664946351282,0.5662884721369918
6,4,14,0.4298126799968579,0.03140224000199708,3.9971228951279913e-4,0.42712097301985824,0.526433054987391
6,8,16,0.44724396957988816,0.07035226757852275,0.0090823185769649,0.4269848474526544,0.5450191506575548
7,4,14,0.3103506727435681,0.03146618923335227,6.651234465913508e-4,0.3316925566810489,0.40296389603767657
7,8,15,0.41429181519444136,0.05804635870527159,0.00356529634227279,0.3894947885593274,0.5987151925828503
8,4,15,0.45397742306635946,0.04917244840049179,-0.00218459239748852,0.5119836507764828,0.37872412200677047
8,8,16,0.4400206205796393,0.05144124272573521,0.00110197788320229,0.42530259611044824,0.6218506969297464
9,4,17,0.3917662930548984,0.02771802467133094,0.00217743328811267,0.3845781107527272,0.4397064657357159
9,8,15,0.4018666623252814,0.03746653485431404,-0.00130497475137505,0.41256549487275207,0.39080597186182103
10,4,16,0.4205601329487683,0.04480755628454747,0.00263823340061013,0.4332199111821813,0.5473996152925368
10,8,18,0.6227727427105185,0.12369325908398077,0.00929796618465004,0.6133955559444105,0.9092846936152664
11,4,16,0.4133735572055736,0.0284618666006156,0.00222101825051154,0.40476540286067336,0.4974460613960366
11,8,17,0.5655827512055761,0.05894589058838513,0.00659461119093031,0.5958387450634774,0.533106826084431
12,4,16,0.4627333738430696,0.04447272824819102,0.00152312742215443,0.4691313545261547,0.6129814396992336
12,8,17,0.5706802824310464,0.07083800344550895,0.00427766809564406,0.613098560987698,0.5896786881428662
13,4,17,0.45194554737941,0.04579649022441526,0.00574029746229063,0.42252417471490694,0.46287975967951894
13,8,17,0.603705562302392,0.0722442463587318,0.00608978108881994,0.5993201851975021,0.6505853846725292
14,4,16,0.4118082765986786,0.03142452716229574,0.00176355154579718,0.442323558258147,0.48589330485805954
14,8,20,0.6516745781999006,0.15308542900776165,0.02056264391745865,0.6056700013376901,0.9421887420439689
15,4,17,0.4767990242175322,0.04488201348426507,0.00561783141442285,0.4701236034569723,0.5580801378711735
15,8,20,0.7148118307590532,0.10834475999337435,0.01553498721530983,0.6857235061355111,0.90367100341539
16,4,18,0.5147006564208025,0.03235028319724974,0.00175779968611036,0.5408408625866554,0.5127949519737801
16,8,21,0.681724190935083,0.08916651487366986,0.00851818604268453,0.6783397865035385,0.5858569362806877
17,4,17,0.5502546017209948,0.06259056746961604,0.0083294109419354,0.5468056918669869,0.6076155603996909
17,8,22,0.6834508657070096,0.08234851774240418,0.00712356645670995,0.6891201908304923,0.8107238655885793
18,4,18,0.46911327059547053,0.03588950938306742,1.1047945923542412e-5,0.47127853756215193,0.4258751928224925
18,8,23,0.7354516540840114,0.112400514092039,0.00947705856848844,0.6949645048929161,0.8195000348684011
19,4,17,0.49800655360339113,0.04807043406951125,0.00320837647163964,0.5093253053007956,0.5166012582910161
19,8,21,0.9058628706857542,0.1411669692070382,0.01436740828382183,1.0731003794547511,0.9501097125564988
20,4,16,0.4961825227527405,0.03903974204661813,0.00457931012997657,0.509983800745028,0.5642491756752948
20,8,21,0.8293600475550714,0.13622139469202807,0.01127563571383951,0.9238792610600596,0.9179600948277824
21,4,19,0.4950547452752281,0.03695988509706709,2.022235020506663e-5,0.4992813176082849,0.48540105473064854
21,8,23,0.9252416502617604,0.1591796282062863,0.01165521570825683,0.9413379949110998,1.1824826179392989
22,4,18,0.5224502972168897,0.05295089109536857,0.00752948287304152,0.5261029392799929,0.5775208994445502
22,8,28,0.8486452211314464,0.12499513965223824,0.00766803054665124,0.856390945029885,0.9091049133734608
23,4,19,0.6326285588986257,0.07644135681555443,0.00990857309822902,0.701668009383663,0.7858996409766787
23,8,23,0.9793901265661398,0.1958130980808454,0.01472048688375704,1.0049011414414382,1.238806136852675
24,4,20,0.6222340300702162,0.07954095939388774,0.00885658157567626,0.5975721244455562,0.8095623624426234
