density,directions,combination_number,ticks,burn_percentage,time_label,burn_percentage_noise,ticks_noise,mean_burn,mean_burn_noise,sd_burn,sd_burn_noise,trend_burn,trend_burn_noise,total_ticks,sample_size,sample_method,summarise_runs,datapoints,run
1,4,1,7,0.25650706861133,middle,0.2797700332136063,6,0.25650706861133,0.26559407462887313,0,0.016387694238799384,0,3.3856789389064e-4,13,198,full,summarised,timesteps,NA
1,4,1,13,0.25650706861133,end,0.23513191338222184,12,0.25650706861133,0.26559407462887313,0,0.016387694238799384,0,3.3856789389064e-4,13,198,full,summarised,timesteps,NA
1,8,2,7,0.25650706861133,middle,0.2768241728842068,5,0.25650706861133,0.25246094151888926,0,0.02130091432226028,0,0.001441748465452248,13,198,full,summarised,timesteps,NA
1,8,2,13,0.25650706861133,end,0.2498819661067717,11,0.25650706861133,0.25246094151888926,0,0.02130091432226028,0,0.001441748465452248,13,198,full,summarised,timesteps,NA
2,4,3,7,0.22429623355299355,middle,0.23822642283191106,12,0.22429623355299355,0.21821384435518262,0,0.014357463802102753,0,-8.541910952797431e-4,13,198,full,summarised,timesteps,NA
2,4,3,13,0.22429623355299355,end,0.19180637257912234,18,0.22429623355299355,0.21821384435518262,0,0.014357463802102753,0,-8.541910952797431e-4,13,198,full,summarised,timesteps,NA
2,8,4,7,0.3694058443385778,middle,0.37928114537771535,11,0.3802714785603905,0.38181611345262606,0.056264357973821386,0.0680369629641971,0,0.0033740977294823282,14,198,full,summarised,timesteps,NA
2,8,4,14,0.5704384912701587,end,0.6063907452957342,18,0.3802714785603905,0.38181611345262606,0.056264357973821386,0.0680369629641971,0,0.0033740977294823282,14,198,full,summarised,timesteps,NA
3,4,5,7,0.40566502445792774,middle,0.41259904747662746,16,0.40566502445792774,0.4083703714074656,0,0.026791430014431083,0,4.5622686147946123e-4,13,198,full,summarised,timesteps,NA
3,4,5,13,0.40566502445792774,end,0.4373687837790686,22,0.40566502445792774,0.4083703714074656,0,0.026791430014431083,0,4.5622686147946123e-4,13,198,full,summarised,timesteps,NA
3,8,6,7,0.4140705213644365,middle,0.42959811840143936,-2,0.4150533211737259,0.41654254537231034,0.015383755216387612,0.019952513595521915,0,-3.5297515993924317e-4,14,198,full,summarised,timesteps,NA
3,8,6,14,0.4596505321731257,end,0.43226246930029266,5,0.4150533211737259,0.41654254537231034,0.015383755216387612,0.019952513595521915,0,-3.5297515993924317e-4,14,198,full,summarised,timesteps,NA
4,4,7,7,0.3913387422747293,middle,0.3860988065860209,13,0.40219362401326103,0.4116195449614352,0.04293284720308904,0.05264137887895894,0,0.00206793240715882,14,198,full,summarised,timesteps,NA
4,4,7,14,0.5511811023622047,end,0.5847508477136989,20,0.40219362401326103,0.4116195449614352,0.04293284720308904,0.05264137887895894,0,0.00206793240715882,14,198,full,summarised,timesteps,NA
4,8,8,7,0.4463195333232913,middle,0.4788553111390204,3,0.451522562276412,0.4479538120828583,0.03273480472227983,0.044531471013497484,0,0.008095421811545683,14,198,full,summarised,timesteps,NA
4,8,8,14,0.559083285921656,end,0.555768654133492,10,0.451522562276412,0.4479538120828583,0.03273480472227983,0.044531471013497484,0,0.008095421811545683,14,198,full,summarised,timesteps,NA
5,4,9,7,0.3739722778843498,middle,0.3362485502218625,-2,0.37850168119232946,0.37097096132257623,0.020923319073285974,0.027126853248557455,0,-3.8505642110214094e-4,14,198,full,summarised,timesteps,NA
5,4,9,14,0.4502196946923245,end,0.4168259506791775,5,0.37850168119232946,0.37097096132257623,0.020923319073285974,0.027126853248557455,0,-3.8505642110214094e-4,14,198,full,summarised,timesteps,NA
5,8,10,8,0.450964316450221,middle,0.45586649463512813,1,0.45512806091546487,0.44864252059547577,0.04379601842845499,0.04833819878005698,0,0.008655609977110068,15,198,full,summarised,timesteps,NA
5,8,10,15,0.5694921975748389,end,0.5662884721369918,8,0.45512806091546487,0.44864252059547577,0.04379601842845499,0.04833819878005698,0,0.008655609977110068,15,198,full,summarised,timesteps,NA
6,4,11,7,0.427884849087916,middle,0.42712097301985824,6,0.43237629751546225,0.42981267999685796,0.029071758734166557,0.03140224000199708,0,3.9971228951279913e-4,14,198,full,summarised,timesteps,NA
6,4,11,14,0.5274888783474154,end,0.526433054987391,13,0.43237629751546225,0.42981267999685796,0.029071758734166557,0.03140224000199708,0,3.9971228951279913e-4,14,198,full,summarised,timesteps,NA
6,8,12,8,0.4414547585021611,middle,0.4269848474526544,14,0.452049955771341,0.44724396957988816,0.05853238478815261,0.07035226757852275,0.007057321400648402,0.009082318576964909,16,198,full,summarised,timesteps,NA
6,8,12,16,0.5719439470020501,end,0.5450191506575548,22,0.452049955771341,0.44724396957988816,0.05853238478815261,0.07035226757852275,0.007057321400648402,0.009082318576964909,16,198,full,summarised,timesteps,NA
7,4,13,7,0.3005695565322085,middle,0.3316925566810489,7,0.30703124095144785,0.3103506727435681,0.02691869341601897,0.031466189233352274,0,6.651234465913508e-4,14,198,full,summarised,timesteps,NA
7,4,13,14,0.400173794593579,end,0.40296389603767657,14,0.30703124095144785,0.3103506727435681,0.02691869341601897,0.031466189233352274,0,6.651234465913508e-4,14,198,full,summarised,timesteps,NA
7,8,14,8,0.41060132113465514,middle,0.3894947885593274,16,0.4206298813737317,0.41429181519444136,0.04775930448169326,0.05804635870527159,0,0.003565296342272794,15,198,full,summarised,timesteps,NA
7,8,14,15,0.5713126317087329,end,0.5987151925828503,23,0.4206298813737317,0.41429181519444136,0.04775930448169326,0.05804635870527159,0,0.003565296342272794,15,198,full,summarised,timesteps,NA
8,4,15,8,0.4554727598954308,middle,0.5119836507764828,14,0.45731014102910256,0.45397742306635946,0.03585222813006013,0.04917244840049179,0,-0.0021845923974885217,15,198,full,summarised,timesteps,NA
8,4,15,15,0.4116839835326407,end,0.37872412200677047,21,0.45731014102910256,0.45397742306635946,0.03585222813006013,0.04917244840049179,0,-0.0021845923974885217,15,198,full,summarised,timesteps,NA
8,8,16,8,0.4309971845462453,middle,0.42530259611044824,3,0.43731150250007544,0.4400206205796393,0.04878925581044521,0.05144124272573521,6.073858114674395e-4,0.001101977883202296,16,198,full,summarised,timesteps,NA
8,8,16,16,0.6083202511773941,end,0.6218506969297464,11,0.43731150250007544,0.4400206205796393,0.04878925581044521,0.05144124272573521,6.073858114674395e-4,0.001101977883202296,16,198,full,summarised,timesteps,NA
9,4,17,9,0.3937002170040487,middle,0.3845781107527272,14,0.3888709871176231,0.3917662930548984,0.018707711310846704,0.02771802467133094,0.0014965966804666446,0.002177433288112673,17,198,full,summarised,timesteps,NA
9,4,17,17,0.4105676544091396,end,0.4397064657357159,22,0.3888709871176231,0.3917662930548984,0.018707711310846704,0.02771802467133094,0.0014965966804666446,0.002177433288112673,17,198,full,summarised,timesteps,NA
9,8,18,8,0.41137272572219474,middle,0.41256549487275207,10,0.4052865052742037,0.4018666623252814,0.02201624946214652,0.03746653485431404,0,-0.0013049747513750598,15,198,full,summarised,timesteps,NA
9,8,18,15,0.4155510503729158,end,0.39080597186182103,17,0.4052865052742037,0.4018666623252814,0.02201624946214652,0.03746653485431404,0,-0.0013049747513750598,15,198,full,summarised,timesteps,NA
10,4,19,8,0.4126844709743704,middle,0.4332199111821813,-2,0.42087976567866325,0.4205601329487683,0.0389291954873416,0.044807556284547474,4.929508035098017e-4,0.0026382334006101365,16,198,full,summarised,timesteps,NA
10,4,19,16,0.5574136008918618,end,0.5473996152925368,6,0.42087976567866325,0.4205601329487683,0.0389291954873416,0.044807556284547474,4.929508035098017e-4,0.0026382334006101365,16,198,full,summarised,timesteps,NA
10,8,20,9,0.5897661444711103,middle,0.6133955559444105,15,0.6196930953203595,0.6227727427105185,0.12375841003747175,0.12369325908398077,0.0063589926572981265,0.009297966184650048,18,198,full,summarised,timesteps,NA
10,8,20,18,0.9394904458598726,end,0.9092846936152664,24,0.6196930953203595,0.6227727427105185,0.12375841003747175,0.12369325908398077,0.0063589926572981265,0.009297966184650048,18,198,full,summarised,timesteps,NA
