mean_wolves,mean_sheep,mean_grass,min_wolves,min_sheep,min_grass,max_wolves,max_sheep,max_grass,sd_wolves,sd_sheep,sd_grass,trend_wolves,trend_sheep,trend_grass,initial_number_sheep,initial_number_wolves,sheep_gain_from_food,wolves_gain_from_food,sheep_reproduce,wolves_reproduce,grass_regrowth,wolves_50,wolves_100,wolves_150,wolves_200,wolves_250,wolves_300,wolves_350,wolves_400,wolves_450,wolves_500,sheep_50,sheep_100,sheep_150,sheep_200,sheep_250,sheep_300,sheep_350,sheep_400,sheep_450,sheep_500,grass_50,grass_100,grass_150,grass_200,grass_250,grass_300,grass_350,grass_400,grass_450,grass_500
214.02,6.782,2472.288,0,0,757,3982,283,2601,731.4034136555653,38.5679848437771,422.1899403674784,0,0,0,215,244,14,95,18,17,36,553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2523,2601,2601,2601,2601,2601,2601,2601,2601,2601
236.186,7.92,2469.234,0,0,695,4594,321,2601,820.7074319034543,44.80567706658152,432.121020544932,0,0,0,215,244,14,95,18,17,36,682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2511,2601,2601,2601,2601,2601,2601,2601,2601,2601
198.418,6.35,2476.054,0,0,745,3749,277,2601,679.6459965579688,37.46318834485293,413.6112614947404,0,0,0,215,244,14,95,18,17,36,528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2548,2601,2601,2601,2601,2601,2601,2601,2601,2601
215.072,6.52,2473.96,0,0,728,4086,291,2601,749.2094369245182,37.95838877714799,420.4793790620806,0,0,0,215,244,14,95,18,17,36,435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2525,2601,2601,2601,2601,2601,2601,2601,2601,2601
208.286,6.622,2476.536,0,0,744,4093,284,2601,733.2854746814214,38.86205907142005,413.1152346479084,0,0,0,215,244,14,95,18,17,36,429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2552,2601,2601,2601,2601,2601,2601,2601,2601,2601
195.9,5.456,2482.284,0,0,776,3840,272,2601,690.9957454575831,34.02062418209694,399.6085049877155,0,0,0,215,244,14,95,18,17,36,291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2568,2601,2601,2601,2601,2601,2601,2601,2601,2601
204.55,6.722,2474.566,0,0,779,4167,293,2601,721.6534201523854,40.03085878807275,417.1752966082728,0,0,0,215,244,14,95,18,17,36,417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2534,2601,2601,2601,2601,2601,2601,2601,2601,2601
213.48,6.696,2474.372,0,0,709,4254,289,2601,754.2081340179498,39.58795266229341,421.1253384889526,0,0,0,215,244,14,95,18,17,36,395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2555,2601,2601,2601,2601,2601,2601,2601,2601,2601
206.378,6.41,2478.432,0,0,780,3984,269,2601,711.768704350638,36.86923624327367,405.5737930132546,0,0,0,215,244,14,95,18,17,36,487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2535,2601,2601,2601,2601,2601,2601,2601,2601,2601
219.656,6.902,2474.222,0,0,712,4142,302,2601,748.2972987781778,40.534460412862586,419.8567757465402,0,0,0,215,244,14,95,18,17,36,630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2548,2601,2601,2601,2601,2601,2601,2601,2601,2601
183.628,5.556,2482.032,0,0,814,3318,238,2601,627.7927341488592,32.66264779717414,396.7381722630951,0,0,0,215,244,14,95,18,17,36,440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2555,2601,2601,2601,2601,2601,2601,2601,2601,2601
216.148,6.706,2475.04,0,0,728,4139,285,2601,752.7749613136463,38.82176997056284,418.7062409762541,0,0,0,215,244,14,95,18,17,36,484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2553,2601,2601,2601,2601,2601,2601,2601,2601,2601
193.67,6.342,2477.664,0,0,795,3690,255,2601,672.6099980813831,35.82770275316488,406.35877992242285,0,0,0,215,244,14,95,18,17,36,425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2513,2601,2601,2601,2601,2601,2601,2601,2601,2601
