wolves,sheep,grass,initial_number_sheep,initial_number_wolves,sheep_gain_from_food,wolves_gain_from_food,sheep_reproduce,wolves_reproduce,grass_regrowth
0,0,2601,215,244,14,95,18,17,36
0,0,2601,215,244,14,95,18,17,36
0,0,2601,215,244,14,95,18,17,36
0,0,2601,215,244,14,95,18,17,36
0,0,2601,215,244,14,95,18,17,36
0,0,2601,215,244,14,95,18,17,36
0,0,2601,215,244,14,95,18,17,36
0,0,2601,215,244,14,95,18,17,36
0,0,2601,215,244,14,95,18,17,36
0,0,2601,215,244,14,95,18,17,36
0,0,2601,215,244,14,95,18,17,36
0,0,2601,215,244,14,95,18,17,36
0,0,2601,215,244,14,95,18,17,36
0,0,2601,215,244,14,95,18,17,36
0,0,2601,215,244,14,95,18,17,36
0,0,2601,225,227,45,55,17,14,1
0,0,2601,225,227,45,55,17,14,1
0,0,2601,225,227,45,55,17,14,1
0,0,2601,225,227,45,55,17,14,1
0,0,2601,225,227,45,55,17,14,1
0,0,2601,225,227,45,55,17,14,1
0,0,2601,225,227,45,55,17,14,1
0,0,2601,225,227,45,55,17,14,1
0,0,2601,225,227,45,55,17,14,1
0,0,2601,225,227,45,55,17,14,1
0,0,2601,225,227,45,55,17,14,1
0,0,2601,225,227,45,55,17,14,1
0,0,2601,225,227,45,55,17,14,1
0,0,2601,225,227,45,55,17,14,1
0,0,2601,225,227,45,55,17,14,1
0,0,2601,152,13,37,44,19,7,6
0,0,2601,152,13,37,44,19,7,6
0,0,2601,152,13,37,44,19,7,6
0,0,2601,152,13,37,44,19,7,6
0,0,2601,152,13,37,44,19,7,6
0,0,2601,152,13,37,44,19,7,6
0,0,2601,152,13,37,44,19,7,6
0,0,2601,152,13,37,44,19,7,6
0,0,2601,152,13,37,44,19,7,6
0,0,2601,152,13,37,44,19,7,6
0,0,2601,152,13,37,44,19,7,6
0,0,2601,152,13,37,44,19,7,6
0,0,2601,152,13,37,44,19,7,6
0,0,2601,152,13,37,44,19,7,6
0,0,2601,152,13,37,44,19,7,6
0,0,2588,109,88,10,97,5,18,40
0,0,2600,109,88,10,97,5,18,40
0,0,2601,109,88,10,97,5,18,40
0,0,2601,109,88,10,97,5,18,40
0,0,2598,109,88,10,97,5,18,40
0,600,288,109,88,10,97,5,18,40
0,0,2591,109,88,10,97,5,18,40
0,0,2601,109,88,10,97,5,18,40
0,0,2601,109,88,10,97,5,18,40
0,558,305,109,88,10,97,5,18,40
0,0,2598,109,88,10,97,5,18,40
0,0,2601,109,88,10,97,5,18,40
0,0,2601,109,88,10,97,5,18,40
0,0,2600,109,88,10,97,5,18,40
0,0,2601,109,88,10,97,5,18,40
0,0,2601,46,189,9,52,16,3,53
0,0,2601,46,189,9,52,16,3,53
339,192,222,46,189,9,52,16,3,53
0,0,2601,46,189,9,52,16,3,53
0,0,2601,46,189,9,52,16,3,53
576,15,1714,46,189,9,52,16,3,53
0,0,2601,46,189,9,52,16,3,53
0,0,2601,46,189,9,52,16,3,53
0,0,2601,46,189,9,52,16,3,53
0,0,2601,46,189,9,52,16,3,53
0,0,2601,46,189,9,52,16,3,53
304,9,2326,46,189,9,52,16,3,53
0,0,2601,46,189,9,52,16,3,53
0,0,2601,46,189,9,52,16,3,53
280,41,267,46,189,9,52,16,3,53
0,0,2601,137,196,2,75,17,16,63
0,0,2575,137,196,2,75,17,16,63
0,0,2363,137,196,2,75,17,16,63
0,0,2384,137,196,2,75,17,16,63
0,0,2496,137,196,2,75,17,16,63
0,0,2165,137,196,2,75,17,16,63
0,0,2566,137,196,2,75,17,16,63
0,0,2561,137,196,2,75,17,16,63
0,0,2151,137,196,2,75,17,16,63
0,0,2234,137,196,2,75,17,16,63
0,0,2014,137,196,2,75,17,16,63
0,0,2272,137,196,2,75,17,16,63
0,0,2055,137,196,2,75,17,16,63
0,0,2555,137,196,2,75,17,16,63
0,0,2077,137,196,2,75,17,16,63
0,0,2601,232,108,16,67,14,11,84
0,0,2589,232,108,16,67,14,11,84
0,0,2576,232,108,16,67,14,11,84
0,0,2601,232,108,16,67,14,11,84
0,0,2601,232,108,16,67,14,11,84
0,0,2601,232,108,16,67,14,11,84
0,0,2556,232,108,16,67,14,11,84
0,0,2601,232,108,16,67,14,11,84
0,0,2601,232,108,16,67,14,11,84
0,0,2601,232,108,16,67,14,11,84
0,0,2601,232,108,16,67,14,11,84
0,0,2601,232,108,16,67,14,11,84
0,0,2601,232,108,16,67,14,11,84
0,0,2601,232,108,16,67,14,11,84
0,0,2561,232,108,16,67,14,11,84
0,0,2535,86,162,28,90,8,14,76
0,0,2394,86,162,28,90,8,14,76
0,0,2123,86,162,28,90,8,14,76
0,0,2528,86,162,28,90,8,14,76
0,0,2220,86,162,28,90,8,14,76
0,0,2371,86,162,28,90,8,14,76
0,0,2413,86,162,28,90,8,14,76
0,0,2221,86,162,28,90,8,14,76
0,0,2491,86,162,28,90,8,14,76
0,0,2369,86,162,28,90,8,14,76
0,0,2321,86,162,28,90,8,14,76
0,0,2575,86,162,28,90,8,14,76
0,0,2427,86,162,28,90,8,14,76
0,0,2461,86,162,28,90,8,14,76
0,0,2289,86,162,28,90,8,14,76
0,3521,155,16,214,27,21,4,15,19
0,3531,177,16,214,27,21,4,15,19
0,3481,167,16,214,27,21,4,15,19
0,3473,163,16,214,27,21,4,15,19
0,3613,174,16,214,27,21,4,15,19
0,3635,162,16,214,27,21,4,15,19
0,3429,184,16,214,27,21,4,15,19
0,3527,175,16,214,27,21,4,15,19
0,3474,171,16,214,27,21,4,15,19
0,3452,161,16,214,27,21,4,15,19
0,3467,202,16,214,27,21,4,15,19
0,3533,164,16,214,27,21,4,15,19
0,3485,171,16,214,27,21,4,15,19
0,3554,180,16,214,27,21,4,15,19
0,3470,169,16,214,27,21,4,15,19
0,0,2601,202,200,8,72,5,5,17
0,0,2601,202,200,8,72,5,5,17
0,0,2601,202,200,8,72,5,5,17
0,0,2601,202,200,8,72,5,5,17
0,0,2601,202,200,8,72,5,5,17
0,0,2601,202,200,8,72,5,5,17
0,0,2601,202,200,8,72,5,5,17
0,0,2601,202,200,8,72,5,5,17
0,0,2601,202,200,8,72,5,5,17
0,0,2601,202,200,8,72,5,5,17
