wolves,sheep,grass,initial_number_sheep,initial_number_wolves,sheep_gain_from_food,wolves_gain_from_food,sheep_reproduce,wolves_reproduce,grass_regrowth
17.472749192852053,0,2734.788465261247,215,244,14,95,18,17,36
10.241202781719512,0.6329989432434769,2701.778847477276,215,244,14,95,18,17,36
2.351476434841703,0.1484563318652997,2384.22985132963,215,244,14,95,18,17,36
3.6290021899508305,0,2447.9981778139995,215,244,14,95,18,17,36
7.654788466351151,0.1499031284471267,2682.2982791664267,215,244,14,95,18,17,36
14.259405401249587,0.27858380528512333,2823.1328507278763,215,244,14,95,18,17,36
0,0.09814567207526996,2517.241374480695,215,244,14,95,18,17,36
0,0,2597.8337881259868,215,244,14,95,18,17,36
0,0.25307647090693153,2627.032421035728,215,244,14,95,18,17,36
0,0.2088700408932616,2672.552820493745,215,244,14,95,18,17,36
0.3070308878293762,0,2643.5396465478243,215,244,14,95,18,17,36
0,0,2749.837066860219,215,244,14,95,18,17,36
0,0,2651.7633771861124,215,244,14,95,18,17,36
0,0,2502.9673733201316,215,244,14,95,18,17,36
0,0.2215322969242008,2514.3849497354536,215,244,14,95,18,17,36
0,0,2699.4559775002476,225,227,45,55,17,14,1
5.603143317095739,0.413725740394434,2553.4637095873386,225,227,45,55,17,14,1
0,0,2601.556698839532,225,227,45,55,17,14,1
0,0,2588.895184680008,225,227,45,55,17,14,1
0,0.6361734049174149,2805.1885055699895,225,227,45,55,17,14,1
2.4719331942502683,0,2527.7417802054792,225,227,45,55,17,14,1
0,0,2724.7912408561087,225,227,45,55,17,14,1
9.374284338640257,0,2494.7832963043093,225,227,45,55,17,14,1
14.224297144396312,0,2727.0648664771234,225,227,45,55,17,14,1
0,0,2616.8528677745608,225,227,45,55,17,14,1
8.287275265939932,1.4581378979830444,2812.8027060633326,225,227,45,55,17,14,1
5.337712796340376,0,2736.188911466945,225,227,45,55,17,14,1
8.190897501123295,0.26148862923411825,2570.1732629531443,225,227,45,55,17,14,1
0,0,2628.010095545174,225,227,45,55,17,14,1
0.05686786794574981,0.02099351793417834,2589.823074328454,225,227,45,55,17,14,1
173.32747042858642,16.67539592151415,2664.591199478647,152,13,37,44,19,7,6
70.01730538185228,0,2692.500712036052,152,13,37,44,19,7,6
0,0,2577.2104416336474,152,13,37,44,19,7,6
0,0,2472.767460471879,152,13,37,44,19,7,6
0,220.50986956361157,2535.22694873209,152,13,37,44,19,7,6
162.8242042410101,0,2727.454732417364,152,13,37,44,19,7,6
73.77749726383882,0,2821.1940177133843,152,13,37,44,19,7,6
161.63826247126838,0,2158.8289211201163,152,13,37,44,19,7,6
0,0,2605.9295421786537,152,13,37,44,19,7,6
140.12589577279368,0,2376.121793285697,152,13,37,44,19,7,6
0,0,2760.6796540835353,152,13,37,44,19,7,6
0,60.34400549852204,2704.3246091028577,152,13,37,44,19,7,6
250.06815120860136,7.868251811521296,2915.5819852799814,152,13,37,44,19,7,6
0,0,2790.903928117055,152,13,37,44,19,7,6
0,81.89545825323533,2600.3452334022695,152,13,37,44,19,7,6
0,0,2473.383920006342,109,88,10,97,5,18,40
0,0,2720.8458723116737,109,88,10,97,5,18,40
0.31972679595175785,0,2368.2653311840745,109,88,10,97,5,18,40
0,0.01472235936446229,2548.172954281932,109,88,10,97,5,18,40
0.00116729033440968,0.2574592884762812,2586.703155849288,109,88,10,97,5,18,40
6.345743014556206,618.0327952400701,310.55704519548175,109,88,10,97,5,18,40
0,0.2310640697398943,2534.1410002336975,109,88,10,97,5,18,40
0,0.13557572903530143,2641.4397232274227,109,88,10,97,5,18,40
0,0.42975029083080246,2841.9081865902954,109,88,10,97,5,18,40
0,551.6680486697401,276.2902489597922,109,88,10,97,5,18,40
9.358325251714891,0.1694586618671093,2704.5062905187065,109,88,10,97,5,18,40
0,0.07061723675295715,2395.464947816058,109,88,10,97,5,18,40
0,0,2505.5006905753335,109,88,10,97,5,18,40
0,0,2708.7918948276947,109,88,10,97,5,18,40
0.20765285199398067,0.24163655854088745,2421.470433313503,109,88,10,97,5,18,40
12.308772405823976,0.5407203411373146,2484.3526686168225,46,189,9,52,16,3,53
0,0,2599.8024241163334,46,189,9,52,16,3,53
345.36661186491386,198.62000898394817,193.88832852786936,46,189,9,52,16,3,53
0,0,2789.9221564068257,46,189,9,52,16,3,53
15.472752775549203,0,2895.2236145346883,46,189,9,52,16,3,53
527.9813735150881,14.991112321138068,1828.2706024261552,46,189,9,52,16,3,53
0,0.7149957625988028,2569.872868216419,46,189,9,52,16,3,53
0.6593962563402803,0.2236466529743299,2617.95410360693,46,189,9,52,16,3,53
0,0,2545.181770023358,46,189,9,52,16,3,53
8.287851467091478,0.00416760934126897,2714.667265136652,46,189,9,52,16,3,53
8.721183611398136,0,2665.1980925083876,46,189,9,52,16,3,53
334.91500092295115,20.918788293394105,2296.226012130997,46,189,9,52,16,3,53
0,0.2338999213137249,2795.9124751514432,46,189,9,52,16,3,53
0,0,2773.3321788902963,46,189,9,52,16,3,53
268.7921861633959,44.47012311663306,239.41505250534308,46,189,9,52,16,3,53
0,0,2414.3342640061023,137,196,2,75,17,16,63
0.35494665742296666,0.09465055322970826,2421.1458677543365,137,196,2,75,17,16,63
0,0.1538117164347916,2703.235169861292,137,196,2,75,17,16,63
0,0,2490.758166564141,137,196,2,75,17,16,63
2.160706530790528,0.07892537216005845,2596.0365741055,137,196,2,75,17,16,63
0,0,2093.845133577031,137,196,2,75,17,16,63
0,0,2568.844540637269,137,196,2,75,17,16,63
0,0,2405.176915430685,137,196,2,75,17,16,63
0.5731444615428415,0.00726568816082621,1888.113206645324,137,196,2,75,17,16,63
1.447714654540539,0,2264.102045681797,137,196,2,75,17,16,63
0.9988971228957793,0.0759631894230852,2124.5477086764186,137,196,2,75,17,16,63
1.8680850391806352,0,2562.0304088806324,137,196,2,75,17,16,63
0,0.14152881580773832,1858.7015797449485,137,196,2,75,17,16,63
2.254112509733967,0,2415.2834267731246,137,196,2,75,17,16,63
0,0.05545755246974668,2042.0810710787975,137,196,2,75,17,16,63
0,0,2503.0186613317132,232,108,16,67,14,11,84
0,0,2441.5667234487796,232,108,16,67,14,11,84
0,0,2798.007015685196,232,108,16,67,14,11,84
0,0,2741.5090916756626,232,108,16,67,14,11,84
3.620294805417332,0.4760527675072557,2721.1874876148163,232,108,16,67,14,11,84
0,1.6775435962345444,2585.5839840759477,232,108,16,67,14,11,84
1.6399807312729413,1.3452650104425226,2205.778616216069,232,108,16,67,14,11,84
14.615590898925378,0,2622.0390313413,232,108,16,67,14,11,84
0,0,2380.433730559327,232,108,16,67,14,11,84
0,0,2539.994610720238,232,108,16,67,14,11,84
12.032373990164276,0.4451443684539253,2594.758769478109,232,108,16,67,14,11,84
0,0,2714.0064399287976,232,108,16,67,14,11,84
13.453998830768644,1.2176510565484275,2616.145248090543,232,108,16,67,14,11,84
0,0.6886160640324768,2570.5618790084345,232,108,16,67,14,11,84
5.459243868463846,0.8641388714309124,2512.6224451900935,232,108,16,67,14,11,84
2.3250562832981876,0,2512.050659060212,86,162,28,90,8,14,76
0.3018624039038021,0,2409.430258050482,86,162,28,90,8,14,76
1.8732924210912527,0,1968.4953022979353,86,162,28,90,8,14,76
4.785269728603357,0.05526887466182242,2542.961104807434,86,162,28,90,8,14,76
1.2847391995201365,0.10717475655478158,2220.896012611539,86,162,28,90,8,14,76
6.242454156998982,0,2325.1447491716694,86,162,28,90,8,14,76
0,0,2475.8519626420634,86,162,28,90,8,14,76
2.4285339953846252,0.44753215744766206,2272.10310867978,86,162,28,90,8,14,76
0,0.12525924495414473,2620.9620566082126,86,162,28,90,8,14,76
2.0286519901008786,0.02800615340135873,2434.3684643829324,86,162,28,90,8,14,76
0,0,2400.2645868913405,86,162,28,90,8,14,76
0,0,2589.37112561873,86,162,28,90,8,14,76
0,0,2411.4433837452493,86,162,28,90,8,14,76
0,0.2635706225813567,2371.6431171789145,86,162,28,90,8,14,76
0,0,2312.7180887931813,86,162,28,90,8,14,76
0,3370.0128964844007,175.62642238816937,16,214,27,21,4,15,19
0.12212988626173953,3601.9566617127707,149.1365552191313,16,214,27,21,4,15,19
0,3150.309142826363,160.67715797109847,16,214,27,21,4,15,19
0.2553442609873904,3536.0408032145456,176.0693693734343,16,214,27,21,4,15,19
0,3605.300239877756,164.14696630786105,16,214,27,21,4,15,19
0.4068159047459975,3139.7641097136457,91.90926338494954,16,214,27,21,4,15,19
0,3683.909562737768,229.0328842196936,16,214,27,21,4,15,19
0,3866.9717634793246,179.25328914970922,16,214,27,21,4,15,19
0,3167.040547347515,168.56378582001338,16,214,27,21,4,15,19
1.5457381629311586,3442.155695386579,87.52798538687101,16,214,27,21,4,15,19
0,3586.7311548230005,221.57295739820103,16,214,27,21,4,15,19
0,3497.2137804940116,112.67088690152316,16,214,27,21,4,15,19
0.4306967531714512,3515.934688322259,180.99421546747877,16,214,27,21,4,15,19
0.6987189351397634,3794.577947557224,197.4857590748577,16,214,27,21,4,15,19
0.20151235285760236,3575.1373756603443,174.68461750230546,16,214,27,21,4,15,19
0.29131244318481675,0,2312.10669890205,202,200,8,72,5,5,17
0,1.0605359033372994,2690.928532705214,202,200,8,72,5,5,17
0,0,2652.44044208178,202,200,8,72,5,5,17
1.6279736092311274,0,2744.454482135799,202,200,8,72,5,5,17
7.282612203339238,0,2455.615598698907,202,200,8,72,5,5,17
0,0.4504559666030994,2807.542768737224,202,200,8,72,5,5,17
0,0.2916391333450947,2548.4923739745395,202,200,8,72,5,5,17
0,0,2508.5682141441607,202,200,8,72,5,5,17
0,0.3048299388778855,2893.964497763902,202,200,8,72,5,5,17
3.0017131354658004,0,2517.279861187946,202,200,8,72,5,5,17
2.2436951327108376,0,2495.254141701738,202,200,8,72,5,5,17
1.2919608440848938,0,2512.249668727221,202,200,8,72,5,5,17
3.149777411102605,0,2793.2476792489583,202,200,8,72,5,5,17
9.74005213073446,0.4824062442602795,2755.3361841096635,202,200,8,72,5,5,17
0,0,2572.870043408948,202,200,8,72,5,5,17
0,0.9775658778836314,2526.804567882343,165,185,11,78,16,6,29
5.7193926065565215,0.6985857339679947,2642.4891025947736,165,185,11,78,16,6,29
0,0,2739.617887701959,165,185,11,78,16,6,29
14.710251282123856,2.1910867008673396,2738.768231640247,165,185,11,78,16,6,29
6.007870149998476,0.7192675087760485,2445.984508061788,165,185,11,78,16,6,29
5.166684970760046,0,2564.6644189652575,165,185,11,78,16,6,29
3.6956968050154977,1.085475543727179,2623.0368052183408,165,185,11,78,16,6,29
0,0.4467647855638681,2787.557586791532,165,185,11,78,16,6,29
0,0.17007629047528447,2663.916379901615,165,185,11,78,16,6,29
0,0,2741.592880159385,165,185,11,78,16,6,29
24.555856248552868,0,2529.9372535538087,165,185,11,78,16,6,29
0.01783519728762826,0.372771787559718,2650.926710697374,165,185,11,78,16,6,29
0.3673192663472086,1.084555478871839,2528.502439026517,165,185,11,78,16,6,29
12.278790135945531,0,2677.29889275604,165,185,11,78,16,6,29
0,0,2586.1319518812184,165,185,11,78,16,6,29
0,819.596656102169,65.75214974653561,181,116,21,1,3,16,70
0,802.0863824030913,80.41057300365769,181,116,21,1,3,16,70
0,793.5536611780167,59.761334402766494,181,116,21,1,3,16,70
0.00442473650611879,779.7863998362978,75.52307683001808,181,116,21,1,3,16,70
0,923.7549783333128,51.536425503542134,181,116,21,1,3,16,70
