wolves,sheep,grass,initial_number_sheep,initial_number_wolves,sheep_gain_from_food,wolves_gain_from_food,sheep_reproduce,wolves_reproduce,grass_regrowth
0,0,2601,215,244,14,95,18,17,36
0,0,2601,225,227,45,55,17,14,1
0,0,2601,152,13,37,44,19,7,6
0,579,296.5,109,88,10,97,5,18,40
374.75,64.25,1132.25,46,189,9,52,16,3,53
0,0,2601,137,196,2,75,17,16,63
0,0,2601,232,108,16,67,14,11,84
0,0,2575,86,162,28,90,8,14,76
0,3509.6666666666665,171.66666666666666,16,214,27,21,4,15,19
0,0,2601,202,200,8,72,5,5,17
0,0,2601,165,185,11,78,16,6,29
0,826.7333333333333,66.46666666666667,181,116,21,1,3,16,70
0,14491,308,67,166,47,85,12,13,8
0,180.73333333333332,736.6,90,67,3,14,15,12,30
25.866666666666667,857.5333333333333,457.4,113,74,29,4,12,7,56
0,1359,59,161,232,42,55,4,16,91
0,2113.3333333333335,175.66666666666666,35,1,22,6,7,10,26
0,1602.75,124.75,119,75,36,39,7,20,88
53.333333333333336,1564.0666666666666,6.466666666666667,250,27,43,8,8,4,98
3.8333333333333335,180.33333333333337,2178.6666666666665,30,7,44,28,4,3,93
40.8,177.8,607,51,209,7,50,7,8,81
0,0,2256.5,208,242,1,31,18,5,95
0,8026.5,175.25,62,119,38,86,3,11,14
135,805.8,753,75,146,49,98,2,2,22
0,0,2601,42,57,24,76,9,6,61
3.2666666666666666,1941.6,366.3333333333333,189,45,26,12,2,12,33
71.8,138.26666666666668,862.8666666666667,199,125,4,24,6,10,43
0,0,2601,24,102,13,62,20,19,11
0,0,2601,222,181,34,47,13,9,5
0,0,2601,182,224,19,90,19,6,45
0,0,2601,131,97,34,81,13,18,49
0,0,2601,171,139,23,58,10,13,52
0,0,2601,238,87,41,63,16,8,78
274.2,81.66666666666667,1269.7333333333331,5,170,5,41,14,2,38
0,2199.75,123,77,154,50,37,10,19,67
317.3333333333333,5.066666666666666,2139.2,11,38,40,26,9,1,86
10.818181818181818,770.1818181818181,403.3636363636364,99,35,18,15,11,10,74
0,0,2601,145,54,17,34,13,12,72
2,0,2601,104,20,30,68,11,4,24
0,2023.1333333333337,80.06666666666666,138,132,31,20,1,18,59
